val_r2,val_rmse,test_r2,test_rmse,configuration
-7.535253468800027,0.05384278650144259,0.8668846174039468,0.12969222476151715,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 2, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'gelu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.001, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 32, 'loss_fn': 'HuberLoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-6.666715266712213,0.0510298137738725,0.8904357113254585,0.11766148618198811,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 2, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'gelu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.001, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 32, 'loss_fn': 'HuberLoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-4.476227224748556,0.04312807223932916,0.8982680079245098,0.11337794793574883,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 2, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'gelu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.001, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 32, 'loss_fn': 'HuberLoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-5.939849220434914,0.04855057007052817,0.8812185089122258,0.1225107516087996,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 2, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'gelu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.001, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 64, 'loss_fn': 'HuberLoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-10.600078484389734,0.06276966055316406,0.8586274031477815,0.1336541461278755,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 2, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'gelu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.001, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 64, 'loss_fn': 'HuberLoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-5.934475371653766,0.04853176894528078,0.8932498560690956,0.11614059657727004,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 2, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'gelu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.001, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 64, 'loss_fn': 'HuberLoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-7.026556775428169,0.05221363841022468,0.8873082437618076,0.11932896986649252,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 2, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'gelu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.001, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 128, 'loss_fn': 'HuberLoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-7.262203347699124,0.05297454753816981,0.8859772456990791,0.12003159625383876,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 2, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'gelu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.001, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 128, 'loss_fn': 'HuberLoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-7.219173331711891,0.052836420260229194,0.8789720658929961,0.12366381150422755,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 2, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'gelu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.001, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 128, 'loss_fn': 'HuberLoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-9.33746210640409,0.059255174520667704,0.8318306782995754,0.1457716951552959,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 4, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'gelu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.001, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 32, 'loss_fn': 'HuberLoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-3.7512761838691517,0.04017209252137026,0.8814707695906021,0.12238059214199459,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 4, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'gelu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.001, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 32, 'loss_fn': 'HuberLoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-8.57551516154109,0.0570296085224299,0.8384782640965347,0.14286153251467565,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 4, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'gelu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.001, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 32, 'loss_fn': 'HuberLoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-13.632458359709748,0.0704981896492265,0.7949200407938105,0.16097611025010927,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 4, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'gelu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.001, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 64, 'loss_fn': 'HuberLoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
