,rule,weight
0,"{'x_Tm3_VolChg': 'x_Tm3_VolChg_c0', 'x_Tm12_VolChg': 'x_Tm12_VolChg_c0', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c1', 'x_Tm13_VolChg': 'x_Tm13_VolChg_c0', 'x_Tm9_PriceChg': 'x_Tm9_PriceChg_c3', 'x_Tm11_PriceChg': 'x_Tm11_PriceChg_c3', 'y_Tp13_PriceChg': 'Unnamed: 0'}",2560.88087661581
1,"{'x_Tm3_VolChg': 'x_Tm3_VolChg_c0', 'x_Tm12_VolChg': 'x_Tm12_VolChg_c0', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c1', 'x_Tm13_VolChg': 'x_Tm13_VolChg_c0', 'x_Tm9_PriceChg': 'x_Tm9_PriceChg_c3', 'x_Tm11_PriceChg': 'x_Tm11_PriceChg_c4', 'y_Tp13_PriceChg': 'Unnamed: 0'}",1718.2804224960826
2,"{'x_Tm3_VolChg': 'x_Tm3_VolChg_c6', 'x_Tm12_VolChg': 'x_Tm12_VolChg_c0', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c1', 'x_Tm13_VolChg': 'x_Tm13_VolChg_c0', 'x_Tm9_PriceChg': 'x_Tm9_PriceChg_c3', 'x_Tm11_PriceChg': 'x_Tm11_PriceChg_c3', 'y_Tp13_PriceChg': 'Unnamed: 0'}",1437.1289317021758
3,"{'x_Tm3_VolChg': 'x_Tm3_VolChg_c0', 'x_Tm12_VolChg': 'x_Tm12_VolChg_c0', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c1', 'x_Tm13_VolChg': 'x_Tm13_VolChg_c0', 'x_Tm9_PriceChg': 'x_Tm9_PriceChg_c2', 'x_Tm11_PriceChg': 'x_Tm11_PriceChg_c2', 'y_Tp13_PriceChg': 'Unnamed: 0'}",1338.5595729503607
4,"{'x_Tm3_VolChg': 'x_Tm3_VolChg_c2', 'x_Tm12_VolChg': 'x_Tm12_VolChg_c2', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c1', 'x_Tm13_VolChg': 'x_Tm13_VolChg_c0', 'x_Tm9_PriceChg': 'x_Tm9_PriceChg_c3', 'x_Tm11_PriceChg': 'x_Tm11_PriceChg_c3', 'y_Tp13_PriceChg': 'Unnamed: 0'}",1063.2459834406056
5,"{'x_Tm3_VolChg': 'x_Tm3_VolChg_c0', 'x_Tm12_VolChg': 'x_Tm12_VolChg_c0', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c4', 'x_Tm13_VolChg': 'x_Tm13_VolChg_c0', 'x_Tm9_PriceChg': 'x_Tm9_PriceChg_c3', 'x_Tm11_PriceChg': 'x_Tm11_PriceChg_c3', 'y_Tp13_PriceChg': 'Unnamed: 0'}",1050.4365381702405
6,"{'x_Tm3_VolChg': 'x_Tm3_VolChg_c1', 'x_Tm12_VolChg': 'x_Tm12_VolChg_c0', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c1', 'x_Tm13_VolChg': 'x_Tm13_VolChg_c1', 'x_Tm9_PriceChg': 'x_Tm9_PriceChg_c3', 'x_Tm11_PriceChg': 'x_Tm11_PriceChg_c3', 'y_Tp13_PriceChg': 'Unnamed: 0'}",998.9028233222406
7,"{'x_Tm3_VolChg': 'x_Tm3_VolChg_c0', 'x_Tm12_VolChg': 'x_Tm12_VolChg_c0', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c4', 'x_Tm13_VolChg': 'x_Tm13_VolChg_c6', 'x_Tm9_PriceChg': 'x_Tm9_PriceChg_c3', 'x_Tm11_PriceChg': 'x_Tm11_PriceChg_c3', 'y_Tp13_PriceChg': 'Unnamed: 0'}",996.2294544254522
8,"{'x_Tm3_VolChg': 'x_Tm3_VolChg_c0', 'x_Tm12_VolChg': 'x_Tm12_VolChg_c0', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c1', 'x_Tm13_VolChg': 'x_Tm13_VolChg_c2', 'x_Tm9_PriceChg': 'x_Tm9_PriceChg_c2', 'x_Tm11_PriceChg': 'x_Tm11_PriceChg_c3', 'y_Tp13_PriceChg': 'Unnamed: 0'}",953.5890368664784
9,"{'x_Tm3_VolChg': 'x_Tm3_VolChg_c0', 'x_Tm12_VolChg': 'x_Tm12_VolChg_c6', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c1', 'x_Tm13_VolChg': 'x_Tm13_VolChg_c0', 'x_Tm9_PriceChg': 'x_Tm9_PriceChg_c3', 'x_Tm11_PriceChg': 'x_Tm11_PriceChg_c4', 'y_Tp13_PriceChg': 'Unnamed: 0'}",876.8096947381782
