,rule,weight
0,"{'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c3', 'x_Tm10_PRoc1': 'x_Tm10_PRoc1_c2', 'x_Tm4_VolChg': 'x_Tm4_VolChg_c0', 'x_Tm12_PriceChg': 'x_Tm12_PriceChg_c2', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c0', 'x_Tm6_PRoc1': 'x_Tm6_PRoc1_c2', 'y_Tp13_PriceChg': 'Unnamed: 0'}",7729.49091259219
1,"{'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c3', 'x_Tm10_PRoc1': 'x_Tm10_PRoc1_c2', 'x_Tm4_VolChg': 'x_Tm4_VolChg_c1', 'x_Tm12_PriceChg': 'x_Tm12_PriceChg_c2', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c6', 'x_Tm6_PRoc1': 'x_Tm6_PRoc1_c2', 'y_Tp13_PriceChg': 'Unnamed: 0'}",5623.241514708352
2,"{'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c3', 'x_Tm10_PRoc1': 'x_Tm10_PRoc1_c2', 'x_Tm4_VolChg': 'x_Tm4_VolChg_c1', 'x_Tm12_PriceChg': 'x_Tm12_PriceChg_c2', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c1', 'x_Tm6_PRoc1': 'x_Tm6_PRoc1_c2', 'y_Tp13_PriceChg': 'Unnamed: 0'}",4839.271027514459
3,"{'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c3', 'x_Tm10_PRoc1': 'x_Tm10_PRoc1_c2', 'x_Tm4_VolChg': 'x_Tm4_VolChg_c4', 'x_Tm12_PriceChg': 'x_Tm12_PriceChg_c2', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c1', 'x_Tm6_PRoc1': 'x_Tm6_PRoc1_c2', 'y_Tp13_PriceChg': 'Unnamed: 0'}",4619.913133097934
4,"{'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c3', 'x_Tm10_PRoc1': 'x_Tm10_PRoc1_c2', 'x_Tm4_VolChg': 'x_Tm4_VolChg_c2', 'x_Tm12_PriceChg': 'x_Tm12_PriceChg_c2', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c3', 'x_Tm6_PRoc1': 'x_Tm6_PRoc1_c2', 'y_Tp13_PriceChg': 'Unnamed: 0'}",4250.531445124487
5,"{'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c2', 'x_Tm10_PRoc1': 'x_Tm10_PRoc1_c2', 'x_Tm4_VolChg': 'x_Tm4_VolChg_c1', 'x_Tm12_PriceChg': 'x_Tm12_PriceChg_c2', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c1', 'x_Tm6_PRoc1': 'x_Tm6_PRoc1_c2', 'y_Tp13_PriceChg': 'Unnamed: 0'}",4013.608728301163
6,"{'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c3', 'x_Tm10_PRoc1': 'x_Tm10_PRoc1_c2', 'x_Tm4_VolChg': 'x_Tm4_VolChg_c3', 'x_Tm12_PriceChg': 'x_Tm12_PriceChg_c2', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c3', 'x_Tm6_PRoc1': 'x_Tm6_PRoc1_c2', 'y_Tp13_PriceChg': 'Unnamed: 0'}",3835.838638024348
7,"{'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c2', 'x_Tm10_PRoc1': 'x_Tm10_PRoc1_c2', 'x_Tm4_VolChg': 'x_Tm4_VolChg_c1', 'x_Tm12_PriceChg': 'x_Tm12_PriceChg_c2', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c2', 'x_Tm6_PRoc1': 'x_Tm6_PRoc1_c2', 'y_Tp13_PriceChg': 'Unnamed: 0'}",3460.9981591031574
8,"{'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c3', 'x_Tm10_PRoc1': 'x_Tm10_PRoc1_c2', 'x_Tm4_VolChg': 'x_Tm4_VolChg_c3', 'x_Tm12_PriceChg': 'x_Tm12_PriceChg_c2', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c1', 'x_Tm6_PRoc1': 'x_Tm6_PRoc1_c2', 'y_Tp13_PriceChg': 'Unnamed: 0'}",3307.097674225271
9,"{'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c2', 'x_Tm10_PRoc1': 'x_Tm10_PRoc1_c2', 'x_Tm4_VolChg': 'x_Tm4_VolChg_c4', 'x_Tm12_PriceChg': 'x_Tm12_PriceChg_c2', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c2', 'x_Tm6_PRoc1': 'x_Tm6_PRoc1_c2', 'y_Tp13_PriceChg': 'Unnamed: 0'}",3254.482854461818
