,rule,weight
0,"{'x_Tm1_PriceChg': 'x_Tm1_PriceChg_c3', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c3', 'x_Tm7_VolChg': 'x_Tm7_VolChg_c0', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c6', 'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c2', 'x_Tm9_PRoc1': 'x_Tm9_PRoc1_c3', 'y_Tp13_PriceChg': 'Unnamed: 0'}",692.3461286417956
1,"{'x_Tm1_PriceChg': 'x_Tm1_PriceChg_c3', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c4', 'x_Tm7_VolChg': 'x_Tm7_VolChg_c0', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c1', 'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c3', 'x_Tm9_PRoc1': 'x_Tm9_PRoc1_c3', 'y_Tp13_PriceChg': 'Unnamed: 0'}",679.7429960457339
2,"{'x_Tm1_PriceChg': 'x_Tm1_PriceChg_c3', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c4', 'x_Tm7_VolChg': 'x_Tm7_VolChg_c1', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c0', 'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c3', 'x_Tm9_PRoc1': 'x_Tm9_PRoc1_c2', 'y_Tp13_PriceChg': 'Unnamed: 0'}",533.6673749943656
3,"{'x_Tm1_PriceChg': 'x_Tm1_PriceChg_c5', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c4', 'x_Tm7_VolChg': 'x_Tm7_VolChg_c1', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c1', 'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c4', 'x_Tm9_PRoc1': 'x_Tm9_PRoc1_c3', 'y_Tp13_PriceChg': 'Unnamed: 0'}",496.6597229352044
4,"{'x_Tm1_PriceChg': 'x_Tm1_PriceChg_c4', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c1', 'x_Tm7_VolChg': 'x_Tm7_VolChg_c2', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c0', 'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c4', 'x_Tm9_PRoc1': 'x_Tm9_PRoc1_c5', 'y_Tp13_PriceChg': 'Unnamed: 0'}",409.33359703720436
5,"{'x_Tm1_PriceChg': 'x_Tm1_PriceChg_c2', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c4', 'x_Tm7_VolChg': 'x_Tm7_VolChg_c1', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c1', 'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c3', 'x_Tm9_PRoc1': 'x_Tm9_PRoc1_c3', 'y_Tp13_PriceChg': 'Unnamed: 0'}",400.15595487861026
6,"{'x_Tm1_PriceChg': 'x_Tm1_PriceChg_c3', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c4', 'x_Tm7_VolChg': 'x_Tm7_VolChg_c6', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c4', 'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c3', 'x_Tm9_PRoc1': 'x_Tm9_PRoc1_c4', 'y_Tp13_PriceChg': 'Unnamed: 0'}",399.06604995126776
7,"{'x_Tm1_PriceChg': 'x_Tm1_PriceChg_c4', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c1', 'x_Tm7_VolChg': 'x_Tm7_VolChg_c2', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c2', 'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c4', 'x_Tm9_PRoc1': 'x_Tm9_PRoc1_c4', 'y_Tp13_PriceChg': 'Unnamed: 0'}",394.21978153063117
8,"{'x_Tm1_PriceChg': 'x_Tm1_PriceChg_c3', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c4', 'x_Tm7_VolChg': 'x_Tm7_VolChg_c0', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c2', 'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c3', 'x_Tm9_PRoc1': 'x_Tm9_PRoc1_c3', 'y_Tp13_PriceChg': 'Unnamed: 0'}",387.6847950382987
9,"{'x_Tm1_PriceChg': 'x_Tm1_PriceChg_c3', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c4', 'x_Tm7_VolChg': 'x_Tm7_VolChg_c6', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c1', 'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c4', 'x_Tm9_PRoc1': 'x_Tm9_PRoc1_c3', 'y_Tp13_PriceChg': 'Unnamed: 0'}",384.3454034424361
10,"{'x_Tm1_PriceChg': 'x_Tm1_PriceChg_c4', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c4', 'x_Tm7_VolChg': 'x_Tm7_VolChg_c3', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c2', 'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c4', 'x_Tm9_PRoc1': 'x_Tm9_PRoc1_c3', 'y_Tp13_PriceChg': 'Unnamed: 0'}",384.17430158960883
11,"{'x_Tm1_PriceChg': 'x_Tm1_PriceChg_c2', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c4', 'x_Tm7_VolChg': 'x_Tm7_VolChg_c0', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c1', 'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c2', 'x_Tm9_PRoc1': 'x_Tm9_PRoc1_c3', 'y_Tp13_PriceChg': 'Unnamed: 0'}",383.5686012174848
12,"{'x_Tm1_PriceChg': 'x_Tm1_PriceChg_c4', 'x_Tm4_PriceChg': 'x_Tm4_PriceChg_c4', 'x_Tm7_VolChg': 'x_Tm7_VolChg_c1', 'x_Tm6_VolChg': 'x_Tm6_VolChg_c1', 'x_Tm2_PriceChg': 'x_Tm2_PriceChg_c4', 'x_Tm9_PRoc1': 'x_Tm9_PRoc1_c3', 'y_Tp13_PriceChg': 'Unnamed: 0'}",382.5032178758782
