cols,scores,in_mask_freq,frequency,weighted_scores
x_Tm1_PriceChg,0.002486829356838723,59,4,0.002486829356838723
x_Tm4_PriceChg,0.0010242833726165784,48,3,0.0010242833726165784
x_Tm7_VolChg,0.0006942176614337365,54,2,0.0006942176614337365
x_Tm6_VolChg,0.0006558799725555409,51,2,0.0006558799725555409
x_Tm2_PriceChg,0.0004370070479676341,46,3,0.0004370070479676341
x_Tm9_PRoc1,0.0002482775688650398,48,3,0.0002482775688650398
x_Tm11_PriceChg,0.0002067663201909733,52,4,0.0002067663201909733
x_Tm7_PRoc1,0.0001989462992874533,54,5,0.0001989462992874533
x_Tm10_PRoc1,0.00014816906662669605,53,2,0.00014816906662669605
x_Tm11_VolChg,0.00011380996927305134,48,2,0.00011380996927305134
x_Tm10_PriceChg,0.00010579235977183535,47,4,0.00010579235977183535
x_Tm13_PriceChg,7.721221835687263e-05,47,5,7.721221835687263e-05
x_Tm12_VolChg,6.486252379021474e-05,53,3,6.486252379021474e-05
x_Tm13_PRoc1,5.591339024100549e-05,46,3,5.591339024100549e-05
x_Tm4_VolChg,3.6378053306572816e-05,55,2,3.6378053306572816e-05
x_Tm1_VolChg,3.5422114007589245e-05,49,2,3.5422114007589245e-05
x_Tm11_PRoc1,3.1064640369233314e-05,47,2,3.1064640369233314e-05
x_Tm7_PriceChg,2.947350972544731e-05,43,1,2.947350972544731e-05
x_Tm9_VolChg,2.1115571747106802e-05,52,3,2.1115571747106802e-05
x_Tm8_PRoc1,1.681865164534352e-05,48,1,1.681865164534352e-05
x_Tm5_PriceChg,1.3157448844108442e-05,49,1,1.3157448844108442e-05
x_Tm8_VolChg,9.736713542962227e-06,53,3,9.736713542962227e-06
x_Tm9_PriceChg,4.285696536117247e-06,53,1,4.285696536117247e-06
x_Tm6_PriceChg,2.705115076942629e-06,43,3,2.705115076942629e-06
x_Tm5_VolChg,0.0,51,0,0.0
x_Tm13_VolChg,0.0,53,0,0.0
x_Tm3_PriceChg,0.0,50,0,0.0
x_Tm8_PriceChg,-5.807670159588224e-06,54,3,-5.807670159588224e-06
x_Tm4_PRoc1,-1.970629594600939e-05,48,1,-1.970629594600939e-05
x_Tm5_PRoc1,-3.969660565300115e-05,50,9,-3.969660565300115e-05
x_Tm2_VolChg,-4.561909252751881e-05,47,2,-4.561909252751881e-05
x_Tm12_PRoc1,-5.322665623656366e-05,50,2,-5.322665623656366e-05
x_Tm2_PRoc1,-6.257689254088962e-05,53,3,-6.257689254088962e-05
x_Tm6_PRoc1,-7.470613425214763e-05,52,3,-7.470613425214763e-05
x_Tm3_PRoc1,-7.878326877607035e-05,52,3,-7.878326877607035e-05
x_Tm12_PriceChg,-9.321681309597358e-05,43,3,-9.321681309597358e-05
x_Tm3_VolChg,-0.00010376493910484438,49,3,-0.00010376493910484438
x_Tm10_VolChg,-0.0001695263338041366,51,2,-0.0001695263338041366
x_Tm1_PRoc1,-0.0003008292502259109,50,2,-0.0003008292502259109
