Model,Feature 1,Feedback 1,Feature 2,Feedback 2,Feature 3,Feedback 3,Feature 4,Feedback 4,Feature 5,Feedback 5,Feature 6,Feedback 6,Feature 7,Feedback 7,Feature 8,Feedback 8,Feature 9,Feedback 9,Feature 10,Feedback 10,Feature 11,Feedback 11,Feature 12,Feedback 12,Feature 13,Feedback 13
t+1, t-4 Price,0.0004656988997407, t-3 Price,0.0003991892868347, t-7 Price,0.0001915901684762, t-11 Price,0.0001828784173162, t-5 Price,0.0001649535685543, t-10 Vol,0.0001570619659324, t-3 ROC,9.45912987580651e-05, t-12 Vol,7.472652693047708e-05, t-1 Vol,7.317460833114215e-05, t-1 ROC,6.056270932015084e-05, t-8 ROC,4.193229183791019e-05, t-11 ROC,3.0967331544518825e-05, t-6 Price,2.881176376381152e-05
t+2, t-4 Price,0.0023098083838419, t-1 Price,0.0005917480413872, t-9 Vol,0.000583452852204, t-2 ROC,0.0003685847524515, t-3 Vol,0.0002029061517989, t-6 Vol,0.0001209024209414, t-3 Price,0.0001073602538631, t-5 Vol,9.681129131940384e-05, t-13 ROC,7.979521927650875e-05, t-8 ROC,6.169443433358269e-05, t-10 Vol,6.15308084239991e-05, t-12 ROC,4.192884977934676e-05, t-1 Vol,3.933667021283029e-05
t+3, t-1 Price,0.0003756645473647, t-4 Price,0.0003521339736639, t-13 Vol,0.0001342432025344, t-2 Vol,0.0001202111198722, t-5 Price,0.0001184726148972, t-7 Price,8.515126613164027e-05, t-2 Price,8.459129454891326e-05, t-1 ROC,3.7542912806297685e-05, t-8 Vol,3.705653902127893e-05, t-12 ROC,3.6483258057873074e-05, t-10 ROC,3.2918309042376886e-05, t-3 Price,3.0243486928689726e-05, t-4 Vol,2.2359707110807425e-05
t+4, t-4 Price,0.0006471253218734, t-10 Price,0.0002275131015719, t-9 Price,0.0001030849767922, t-9 Vol,9.858282393417575e-05, t-8 Vol,9.420151614595604e-05, t-11 ROC,5.45811659740703e-05, t-11 Price,4.814796764829205e-05, t-3 Vol,4.5525555487843856e-05, t-12 Vol,4.336168208179134e-05, t-6 Vol,3.903492659238858e-05, t-5 Price,3.794849219218511e-05, t-7 ROC,2.0610510741653405e-05, t-1 ROC,1.922637081600141e-05
t+5, t-1 Price,0.0011898752672655, t-3 Price,0.000677656303335, t-2 Price,0.0006762560922533, t-7 ROC,0.0004625446546686, t-6 ROC,0.0004212488861727, t-12 Vol,0.0004095469110251, t-7 Price,0.0001582436363962, t-5 Price,0.0001380028086187, t-5 ROC,9.703245028447505e-05, t-13 Vol,6.143886854383516e-05, t-11 Vol,6.110237372577914e-05, t-6 Vol,4.773376111643299e-05, t-6 Price,2.9261302797577695e-05
t+6, t-2 Vol,0.0004450578626649, t-4 Price,0.0003223696597228, t-5 Vol,0.0003144961410321, t-4 ROC,0.0003087280391046, t-2 Price,0.0002408599823057, t-1 Price,0.000180544048416, t-3 Price,0.0001619405847434, t-10 Vol,0.0001502413571308, t-7 Price,9.208757761429542e-05, t-9 Vol,7.12158723260296e-05, t-3 Vol,7.064074518743063e-05, t-7 Vol,6.788878989912789e-05, t-10 Price,6.391516973890688e-05
t+7, t-13 Vol,0.0012875556301566, t-12 Vol,0.0006232607361931, t-6 Vol,0.0005804477753867, t-7 Price,0.0004027002707883, t-8 Vol,0.000267146321481, t-1 Vol,0.0002075592414769, t-12 ROC,0.0001166053968773, t-9 Vol,9.183985459565848e-05, t-8 ROC,8.96309121941653e-05, t-1 ROC,7.646843504340585e-05, t-4 ROC,6.355913446648265e-05, t-13 ROC,5.967337247248667e-05, t-13 Price,5.423877261566185e-05
t+8, t-1 ROC,0.0006171373965151, t-6 ROC,0.000459796138108, t-7 Vol,0.0004488209597767, t-4 Price,0.0003539489933447, t-6 Vol,0.0003505620386468, t-11 Vol,0.0003185760269682, t-5 Vol,0.0001804406899236, t-8 ROC,0.0001742024191645, t-7 Price,0.0001705341742337, t-1 Vol,0.0001493685469529, t-13 ROC,6.692073031032021e-05, t-8 Vol,3.108916844365971e-05, t-13 Price,3.062449328834798e-05
t+9, t-7 ROC,0.0014485160440648, t-10 Price,0.0006429152381697, t-11 ROC,0.000232906055655, t-5 Vol,0.0002283353340868, t-9 Price,0.0002277675170649, t-3 Price,0.0001672500046921, t-4 Vol,0.0001600673066685, t-9 ROC,0.0001403433910666, t-7 Price,0.0001209058972416, t-3 Vol,0.0001194619063507, t-8 Price,7.896078566138262e-05, t-8 Vol,5.065348908559347e-05, t-2 Price,2.2060545536809342e-05
t+10, t-13 Vol,0.0007307003888357, t-13 ROC,0.0002736140505531, t-1 ROC,0.0002659817629395, t-2 ROC,0.0002623190601749, t-12 Price,0.000252416129438, t-4 ROC,0.0002265153165059, t-1 Vol,0.0001828472396355, t-10 Vol,0.0001597701326216, t-3 Price,0.0001476470815257, t-3 Vol,0.0001387350945571, t-11 ROC,0.0001364703285691, t-13 Price,0.0001213202498532, t-5 Price,0.0001143577767622
