Model,Feature 1,Feedback 1,Feature 2,Feedback 2,Feature 3,Feedback 3
t+1,t-4 Price,0.0004656988997407,t-3 Price,0.0003991892868347,t-7 Price,0.0001915901684762
t+2,t-4 Price,0.0023098083838419,t-1 Price,0.0005917480413872,t-9 Vol,0.000583452852204
t+3,t-1 Price,0.0003756645473647,t-4 Price,0.0003521339736639,t-13 Vol,0.0001342432025344
t+4,t-4 Price,0.0006471253218734,t-10 Price,0.0002275131015719,t-9 Price,0.0001030849767922
t+5,t-1 Price,0.0011898752672655,t-3 Price,0.000677656303335,t-2 Price,0.0006762560922533
t+6,t-2 Vol,0.0004450578626649,t-4 Price,0.0003223696597228,t-5 Vol,0.0003144961410321
t+7,t-13 Vol,0.0012875556301566,t-12 Vol,0.0006232607361931,t-6 Vol,0.0005804477753867
t+8,t-1 ROC,0.0006171373965151,t-6 ROC,0.000459796138108,t-7 Vol,0.0004488209597767
t+9,t-7 ROC,0.0014485160440648,t-10 Price,0.0006429152381697,t-11 ROC,0.000232906055655
t+10,t-13 Vol,0.0007307003888357,t-13 ROC,0.0002736140505531,t-1 ROC,0.0002659817629395
t+11,t-5 Price,0.0005659704238624,t-10 ROC,0.0002696461413583,t-10 Price,0.0002558739483586
t+12,t-11 Vol,0.0005370116413224,t-10 Vol,0.0003898271465638,t-4 Price,0.0003260644435285
t+13,t-4 ROC,0.0017804303736905,t-13 Vol,0.0015109892034016,t-3 Vol,0.0006848610927093
