cols,scores,in_mask_freq,frequency,weighted_scores
x_Tm12_VolChg,0.01658357588515783,54,4,0.01658357588515783
x_Tm4_PRoc1,0.013865004597316032,51,2,0.013865004597316032
x_Tm1_PriceChg,0.013255059546674747,45,3,0.013255059546674747
x_Tm3_PriceChg,0.005543469020714989,42,2,0.005543469020714989
x_Tm1_PRoc1,0.00546738081534733,35,2,0.00546738081534733
x_Tm5_VolChg,0.0018899404068529965,50,2,0.0018899404068529965
x_Tm6_PRoc1,0.0007485143898582112,48,4,0.0007485143898582112
x_Tm13_PRoc1,0.0006173221047586963,56,2,0.0006173221047586963
x_Tm11_PriceChg,0.00046900177625212413,40,4,0.00046900177625212413
x_Tm7_PRoc1,0.00036359862468332213,47,2,0.00036359862468332213
x_Tm10_PriceChg,0.00023171815946971289,51,4,0.00023171815946971289
x_Tm9_PriceChg,0.00022545074488458466,54,2,0.00022545074488458466
x_Tm11_VolChg,0.0001685439540583582,42,1,0.0001685439540583582
x_Tm6_PriceChg,8.625536049837904e-05,49,3,8.625536049837904e-05
x_Tm6_VolChg,8.341623890393592e-05,51,3,8.341623890393592e-05
x_Tm3_PRoc1,2.323499494694798e-05,49,1,2.323499494694798e-05
x_Tm12_PriceChg,0.0,52,0,0.0
x_Tm9_VolChg,0.0,43,0,0.0
x_Tm2_PRoc1,0.0,45,0,0.0
x_Tm4_VolChg,0.0,55,0,0.0
x_Tm12_PRoc1,-5.929856560875569e-05,46,1,-5.929856560875569e-05
x_Tm2_PriceChg,-0.00016668624957386666,47,1,-0.00016668624957386666
x_Tm13_VolChg,-0.00028477115757006926,45,2,-0.00028477115757006926
x_Tm1_VolChg,-0.000348291979407787,37,3,-0.000348291979407787
x_Tm4_PriceChg,-0.000373730676652851,55,1,-0.000373730676652851
x_Tm5_PriceChg,-0.0004384947680128086,54,3,-0.0004384947680128086
x_Tm8_PRoc1,-0.0024895642808885725,52,4,-0.0024895642808885725
x_Tm10_PRoc1,-0.0033150764203923474,47,7,-0.0033150764203923474
x_Tm11_PRoc1,-0.00527978745454211,53,2,-0.00527978745454211
x_Tm7_VolChg,-0.006495440273977271,46,4,-0.006495440273977271
x_Tm5_PRoc1,-0.006840035990002727,38,2,-0.006840035990002727
x_Tm9_PRoc1,-0.007384111598671389,51,5,-0.007384111598671389
x_Tm8_VolChg,-0.008127829875589285,50,2,-0.008127829875589285
x_Tm10_VolChg,-0.011482821627987968,48,2,-0.011482821627987968
x_Tm3_VolChg,-0.014800355130482794,45,3,-0.014800355130482794
x_Tm8_PriceChg,-0.018841623974259068,42,4,-0.018841623974259068
x_Tm2_VolChg,-0.02496492507272387,50,3,-0.02496492507272387
x_Tm13_PriceChg,-0.03013884833033391,49,8,-0.03013884833033391
x_Tm7_PriceChg,-0.11108220543973103,46,2,-0.11108220543973103
