Model,Feature 1,Feedback 1,Feature 2,Feedback 2,Feature 3,Feedback 3,Feature 4,Feedback 4,Feature 5,Feedback 5,Feature 6,Feedback 6,Feature 7,Feedback 7,Feature 8,Feedback 8,Feature 9,Feedback 9,Feature 10,Feedback 10,Feature 11,Feedback 11,Feature 12,Feedback 12,Feature 13,Feedback 13
t+1, t-3 Price,0.0029848785539248, t-1 Vol,0.0027748657358954, t-13 ROC,0.0026799807985352, t-11 Vol,0.0025799390541488, t-2 Price,0.0023433837023892, t-10 Vol,0.0020526578430316, t-8 ROC,0.0019155432745816, t-7 ROC,0.0018894516770074, t-9 ROC,0.0016325160511671, t-6 Price,0.0012170466204597, t-13 Vol,0.0006693413552833, t-5 Vol,0.0006450529777093, t-3 ROC,0.0003971171200435
t+2, t-2 ROC,0.0808317269804186, t-3 ROC,0.0147588555003124, t-2 Price,0.0101179385250664, t-3 Price,0.0031571023699629, t-8 ROC,0.0017328971902436, t-1 ROC,0.0016111538910342, t-11 Vol,0.0010395580848433, t-11 Price,0.0008786819641556, t-6 Vol,0.0005329022322248, t-3 Vol,0.0004210113647532, t-13 Vol,0.0003966354712827, t-1 Vol,0.0003840792375895, t-9 Vol,0.0002817829721874
t+3, t-4 Price,0.0114453341045638, t-10 Vol,0.0091013704144666, t-4 Vol,0.0078366384868096, t-12 ROC,0.0035010230346244, t-1 Price,0.0033786543088904, t-12 Price,0.0028797369422284, t-13 Price,0.0023763033652585, t-7 Vol,0.0020247674650143, t-5 Vol,0.0012554692311708, t-13 ROC,0.0011700222715349, t-10 ROC,0.0009154593433227, t-4 ROC,0.0004430822258428, t-11 ROC,0.0001643546075035
t+4, t-1 ROC,0.0110368611367745, t-2 Price,0.0042336828738315, t-3 Vol,0.0034656695053425, t-9 Price,0.002897804682057, t-5 Vol,0.0026378031917458, t-8 Price,0.0022962468347977, t-9 ROC,0.0020324404516396, t-4 Vol,0.0019022815608663, t-13 Price,0.0013829493607287, t-10 ROC,0.0013677934516024, t-12 Price,0.0011585762014815, t-6 Price,0.0006914807014258, t-13 ROC,0.000651629404393
t+5, t-1 ROC,0.0247901403476666, t-11 Vol,0.0246337126633302, t-12 Vol,0.0199945332761643, t-6 Vol,0.0051993354040536, t-13 Price,0.0051708187599363, t-4 ROC,0.004635699272681, t-3 Price,0.0040239758882719, t-6 Price,0.0024570311946331, t-5 Price,0.0017070984700761, t-12 ROC,0.0016913664429753, t-5 Vol,0.0016140145409484, t-8 ROC,0.0014586257256158, t-7 Vol,0.0012041331334729
t+6, t-5 Price,0.0209184652298247, t-1 Price,0.0103367467304906, t-11 Price,0.0065625693284593, t-4 Price,0.0060143131870434, t-2 Vol,0.0026756802372715, t-11 ROC,0.0025383128916389, t-12 Price,0.0020006364390689, t-2 ROC,0.0012300698869769, t-10 Vol,0.0004292265231585, t-6 Price,0.0002389027844744, t-3 Price,0.0002272286265004, t-5 ROC,0.0001160043915128, t-8 Price,3.617013236783531e-05
t+7, t-5 ROC,0.0493772678554538, t-3 ROC,0.0229644779085011, t-3 Price,0.0150411015341851, t-4 ROC,0.008794949272354, t-1 Price,0.0038252967393248, t-6 Price,0.0037229513701998, t-4 Price,0.0032581534395426, t-11 Price,0.0026640628538883, t-13 Vol,0.0015652503021811, t-12 Price,0.0015613488280456, t-1 Vol,0.0015396208068334, t-11 ROC,0.0014152063125392, t-12 ROC,0.001333201069406
t+8, t-12 Price,0.0280035323442816, t-4 ROC,0.0261523410008877, t-10 Vol,0.0148405462922302, t-1 Price,0.0142332269765736, t-3 Price,0.0038674241839934, t-5 ROC,0.003374495465937, t-7 Vol,0.0021661804073151, t-13 Vol,0.0015505597494535, t-7 ROC,0.0014957233594454, t-12 Vol,0.0008430875079805, t-1 Vol,0.0007652652474598, t-5 Price,0.0006388140388418, t-6 Price,0.000471973506448
t+9, t-4 Vol,0.0284759652195667, t-1 Price,0.0133466005632498, t-13 Vol,0.0110910660685103, t-6 Vol,0.0096220118162745, t-9 ROC,0.0088326169731871, t-4 ROC,0.0039521182603921, t-7 ROC,0.0036105210084528, t-13 Price,0.0032574365099462, t-4 Price,0.0026621028408094, t-8 Price,0.0022418042011254, t-10 Vol,0.0018200327276701, t-6 ROC,0.0014707370308592, t-1 ROC,0.0012955554852512
t+10, t-1 Price,0.0325951380952822, t-4 Vol,0.0129525731429215, t-2 Price,0.0116828647690635, t-13 Price,0.0068277335067124, t-6 Price,0.0068213815983979, t-12 ROC,0.005780709914157, t-13 Vol,0.0047527921484673, t-3 ROC,0.0023563848149342, t-5 ROC,0.0013881138054386, t-10 ROC,0.0012631836092035, t-8 Price,0.0008541783426346, t-5 Vol,0.0008183532805994, t-9 Price,0.0006230946607923
t+11, t-9 Vol,0.0274579442878458, t-2 Price,0.0155160141929889, t-1 Price,0.0151106403570087, t-5 Vol,0.012957492102979, t-5 Price,0.0108676996475649, t-7 Vol,0.0091677882745976, t-11 Vol,0.0085439726473836, t-9 ROC,0.0036220751304623, t-13 Price,0.002729196218638, t-7 ROC,0.002146362647029, t-6 Vol,0.0019375944649661, t-6 Price,0.0018329343928959, t-10 Vol,0.0015622381999478
t+12, t-12 Vol,0.0171399639048942, t-6 ROC,0.010363597630988, t-8 Vol,0.0086948268668646, t-10 Price,0.0032656317732293, t-5 ROC,0.0032297388899405, t-7 ROC,0.0026501316134869, t-10 Vol,0.0022922286997995, t-5 Vol,0.0017921332678651, t-2 Price,0.0013109604056819, t-10 ROC,0.001148426041994, t-13 Price,0.0010804784779066, t-3 ROC,0.00103349195004, t-6 Vol,0.0006874925056625
t+13, t-12 Vol,0.0165835758851578, t-4 ROC,0.013865004597316, t-1 Price,0.0132550595466747, t-3 Price,0.0055434690207149, t-1 ROC,0.0054673808153473, t-5 Vol,0.0018899404068529, t-6 ROC,0.0007485143898582, t-13 ROC,0.0006173221047586, t-11 Price,0.0004690017762521, t-7 ROC,0.0003635986246833, t-10 Price,0.0002317181594697, t-9 Price,0.0002254507448845, t-11 Vol,0.0001685439540583
