Ticker,Model,Rank,Feature,Weighted Score
C38U.SI,t+1,Top 1, t-3 Price,0.0029848785539248
C38U.SI,t+1,Top 2, t-1 Vol,0.0027748657358954
C38U.SI,t+1,Top 3, t-13 ROC,0.0026799807985352
C38U.SI,t+2,Top 1, t-2 ROC,0.0808317269804186
C38U.SI,t+2,Top 2, t-3 ROC,0.0147588555003124
C38U.SI,t+2,Top 3, t-2 Price,0.0101179385250664
C38U.SI,t+3,Top 1, t-4 Price,0.0114453341045638
C38U.SI,t+3,Top 2, t-10 Vol,0.0091013704144666
C38U.SI,t+3,Top 3, t-4 Vol,0.0078366384868096
C38U.SI,t+4,Top 1, t-1 ROC,0.0110368611367745
C38U.SI,t+4,Top 2, t-2 Price,0.0042336828738315
C38U.SI,t+4,Top 3, t-3 Vol,0.0034656695053425
C38U.SI,t+5,Top 1, t-1 ROC,0.0247901403476666
C38U.SI,t+5,Top 2, t-11 Vol,0.0246337126633302
C38U.SI,t+5,Top 3, t-12 Vol,0.0199945332761643
C38U.SI,t+6,Top 1, t-5 Price,0.0209184652298247
C38U.SI,t+6,Top 2, t-1 Price,0.0103367467304906
C38U.SI,t+6,Top 3, t-11 Price,0.0065625693284593
C38U.SI,t+7,Top 1, t-5 ROC,0.0493772678554538
C38U.SI,t+7,Top 2, t-3 ROC,0.0229644779085011
C38U.SI,t+7,Top 3, t-3 Price,0.0150411015341851
C38U.SI,t+8,Top 1, t-12 Price,0.0280035323442816
C38U.SI,t+8,Top 2, t-4 ROC,0.0261523410008877
C38U.SI,t+8,Top 3, t-10 Vol,0.0148405462922302
C38U.SI,t+9,Top 1, t-4 Vol,0.0284759652195667
C38U.SI,t+9,Top 2, t-1 Price,0.0133466005632498
C38U.SI,t+9,Top 3, t-13 Vol,0.0110910660685103
C38U.SI,t+10,Top 1, t-1 Price,0.0325951380952822
C38U.SI,t+10,Top 2, t-4 Vol,0.0129525731429215
C38U.SI,t+10,Top 3, t-2 Price,0.0116828647690635
C38U.SI,t+11,Top 1, t-9 Vol,0.0274579442878458
C38U.SI,t+11,Top 2, t-2 Price,0.0155160141929889
C38U.SI,t+11,Top 3, t-1 Price,0.0151106403570087
C38U.SI,t+12,Top 1, t-12 Vol,0.0171399639048942
C38U.SI,t+12,Top 2, t-6 ROC,0.010363597630988
C38U.SI,t+12,Top 3, t-8 Vol,0.0086948268668646
C38U.SI,t+13,Top 1, t-12 Vol,0.0165835758851578
C38U.SI,t+13,Top 2, t-4 ROC,0.013865004597316
C38U.SI,t+13,Top 3, t-1 Price,0.0132550595466747
