cols,scores,in_mask_freq,frequency,weighted_scores
x_Tm3_VolChg,0.002375783205333126,52,4,0.002375783205333126
x_Tm12_VolChg,0.001263257724921204,48,3,0.001263257724921204
x_Tm4_PriceChg,0.0009356037293179274,49,6,0.0009356037293179274
x_Tm13_VolChg,0.0009330674808699722,52,1,0.0009330674808699722
x_Tm9_PriceChg,0.0005324504142376576,51,4,0.0005324504142376576
x_Tm11_PriceChg,0.00047460285705950254,58,3,0.00047460285705950254
x_Tm1_PriceChg,0.0004719238243656806,48,2,0.0004719238243656806
x_Tm2_PriceChg,0.0004296027685453544,48,4,0.0004296027685453544
x_Tm5_PRoc1,0.00038371879058752965,40,3,0.00038371879058752965
x_Tm11_PRoc1,0.00020192509777476738,53,2,0.00020192509777476738
x_Tm2_VolChg,0.00016833790581792093,57,3,0.00016833790581792093
x_Tm7_VolChg,0.00011672081680455103,39,3,0.00011672081680455103
x_Tm7_PRoc1,0.000114344853712424,45,3,0.000114344853712424
x_Tm12_PRoc1,8.317620618544952e-05,53,3,8.317620618544952e-05
x_Tm9_VolChg,6.990228370541178e-05,55,2,6.990228370541178e-05
x_Tm7_PriceChg,5.357075258654703e-05,43,2,5.357075258654703e-05
x_Tm1_VolChg,0.0,45,0,0.0
x_Tm10_PRoc1,0.0,38,0,0.0
x_Tm10_VolChg,0.0,51,0,0.0
x_Tm5_PriceChg,0.0,44,0,0.0
x_Tm6_PriceChg,0.0,49,0,0.0
x_Tm6_VolChg,0.0,42,0,0.0
x_Tm3_PRoc1,-1.9723221737129577e-05,44,1,-1.9723221737129577e-05
x_Tm8_PriceChg,-4.3541314485796585e-05,46,1,-4.3541314485796585e-05
x_Tm10_PriceChg,-5.0828238816045913e-05,51,3,-5.0828238816045913e-05
x_Tm1_PRoc1,-0.00014665953205152094,46,1,-0.00014665953205152094
x_Tm13_PRoc1,-0.00015533327074381833,48,2,-0.00015533327074381833
x_Tm13_PriceChg,-0.0001685954245606836,39,2,-0.0001685954245606836
x_Tm8_PRoc1,-0.000234447454470621,48,5,-0.000234447454470621
x_Tm4_PRoc1,-0.00036974058266699107,54,4,-0.00036974058266699107
x_Tm9_PRoc1,-0.00039937942452719123,56,1,-0.00039937942452719123
x_Tm12_PriceChg,-0.00047421600088493976,50,2,-0.00047421600088493976
x_Tm8_VolChg,-0.0007203111619843979,54,3,-0.0007203111619843979
x_Tm5_VolChg,-0.0008545536964122961,54,5,-0.0008545536964122961
x_Tm3_PriceChg,-0.0014839750382473439,45,1,-0.0014839750382473439
x_Tm11_VolChg,-0.0015881482129579325,44,9,-0.0015881482129579325
x_Tm2_PRoc1,-0.0016176918047790699,51,1,-0.0016176918047790699
x_Tm6_PRoc1,-0.0025512348602818907,57,6,-0.0025512348602818907
x_Tm4_VolChg,-0.00872063092186827,40,5,-0.00872063092186827
