Model,Feature 1,Feedback 1,Feature 2,Feedback 2,Feature 3,Feedback 3,Feature 4,Feedback 4,Feature 5,Feedback 5,Feature 6,Feedback 6,Feature 7,Feedback 7,Feature 8,Feedback 8,Feature 9,Feedback 9,Feature 10,Feedback 10,Feature 11,Feedback 11,Feature 12,Feedback 12,Feature 13,Feedback 13
t+1, t-8 Vol,0.0039500703650794, t-1 Price,0.0029243446699558, t-11 Vol,0.0023121757042909, t-6 ROC,0.0016610901587741, t-5 ROC,0.0010879032933964, t-6 Price,0.0004135658328016, t-3 Vol,0.0002207233222274, t-2 Price,0.000152652378986, t-8 Price,0.0001198462740074, t-9 Price,6.766451042447953e-05, t-11 ROC,6.679543479363076e-05, t-13 Vol,6.561775303499686e-05, t-4 Price,5.786090730930071e-05
t+2, t-4 ROC,0.0026660069019053, t-2 Price,0.0015276919492277, t-4 Price,0.0010957335382327, t-2 Vol,0.0004467379969097, t-10 Price,0.0003875083556289, t-5 Price,0.0003760889574189, t-6 Price,0.0002282706117329, t-1 Vol,0.0001743100876179, t-2 ROC,0.000165329087974, t-10 ROC,0.0001518399989662, t-3 ROC,0.0001504096087814, t-9 ROC,0.0001497733067391, t-7 ROC,0.0001355795867419
t+3, t-2 Price,0.0005301991109495, t-4 Vol,0.0004620228490572, t-9 ROC,0.0003438811402373, t-12 Price,0.0003200303465565, t-13 Vol,0.0002030551832481, t-9 Price,0.0001808593344379, t-1 Price,0.0001280581483051, t-3 Price,5.927657035024089e-05, t-13 Price,4.781579355831049e-05, t-6 ROC,2.9358547025128068e-05, t-1 Vol,2.7345734131919287e-05, t-7 ROC,2.459397858750989e-05, t-4 Price,1.647341332450848e-05
t+4, t-7 Price,0.0007416542239584, t-5 Price,0.0005639901016278, t-6 Vol,0.0004407254684452, t-3 Price,0.0003224473807012, t-11 ROC,0.0003155913940953, t-11 Vol,0.0002846164991397, t-2 Price,0.0002323686242783, t-7 Vol,0.0001674543959561, t-12 Price,0.0001001085498215, t-12 ROC,9.991345239698126e-05, t-2 ROC,5.730411707317764e-05, t-9 ROC,3.017404618085293e-05, t-8 ROC,1.1229263692542144e-05
t+5, t-2 Price,0.0057640592325099, t-12 ROC,0.0011282194037019, t-13 Vol,0.0008348690856974, t-1 Vol,0.0007592014925491, t-8 Vol,0.0006947958202521, t-1 ROC,0.000602680869201, t-10 ROC,0.0003136938997658, t-5 Vol,0.0002772246455399, t-12 Price,0.0002473914236109, t-4 Vol,0.0001641903230646, t-9 ROC,0.0001212572570499, t-4 Price,9.39453688625134e-05, t-10 Price,7.915231325679163e-05
t+6, t-6 Price,0.0011292156968581, t-8 Price,0.0006405346231069, t-6 ROC,0.0005241202071445, t-12 Vol,0.0004721030823634, t-1 Price,0.000311301572219, t-11 Price,0.0002595595795615, t-3 ROC,0.0002500666246879, t-13 ROC,0.0002457873333474, t-7 Vol,0.0002433836744439, t-11 Vol,0.0002146682723816, t-3 Price,0.0001698342759101, t-8 Vol,0.0001093418006374, t-13 Vol,6.936848288785629e-05
t+7, t-8 Price,0.0063336842143769, t-12 Price,0.0013394455002814, t-4 ROC,0.0009343689204957, t-3 Price,0.0007539436762369, t-8 Vol,0.0007421878274952, t-11 Vol,0.0006514692340717, t-1 ROC,0.0005253598382721, t-2 Price,0.0005151175986006, t-4 Price,0.0002750263346832, t-3 ROC,0.0002659550905377, t-9 ROC,0.0002626661655478, t-2 Vol,0.0001353437576925, t-11 ROC,0.0001115456726907
t+8, t-7 Vol,0.0021927994908744, t-8 Vol,0.001362913209118, t-12 Price,0.0009348850148791, t-2 ROC,0.0006247913129343, t-10 Vol,0.0006126525980705, t-4 Vol,0.0003998406135364, t-11 Price,0.0003352477047395, t-5 Vol,0.0002251472740307, t-12 Vol,0.0002057712396996, t-3 Price,0.0001374937459634, t-13 Vol,0.0001207872315517, t-7 ROC,0.0001142896678198, t-11 Vol,5.941254553724248e-05
t+9, t-1 Price,0.0052999786636445, t-7 Vol,0.0015125074491899, t-11 Vol,0.0008188705319528, t-11 Price,0.0007378295116452, t-7 ROC,0.0007344826574712, t-13 Vol,0.0006794357137953, t-1 ROC,0.0005153000928557, t-3 ROC,0.000313813792052, t-2 Vol,0.0002434029768787, t-6 Price,0.0002359505852342, t-10 Vol,0.0001805856329431, t-3 Vol,0.0001755095206298, t-6 Vol,0.0001705740697789
t+10, t-1 Vol,0.0011460813100504, t-9 ROC,0.0010702594604555, t-1 Price,0.0006474677177504, t-3 Vol,0.0006351211095083, t-5 Vol,0.0005855905803762, t-4 Price,0.0005798813787919, t-10 Vol,0.0005260364834045, t-5 ROC,0.0002955387052471, t-13 Vol,0.0002862246784641, t-8 ROC,0.0002287762709652, t-1 ROC,0.0002090414818738, t-6 Price,0.0001562865565235, t-2 Vol,0.0001506558329727
