Ticker,Model,Rank,Feature,Weighted Score
Q0F.SI,t+1,Top 1, t-8 Vol,0.0039500703650794
Q0F.SI,t+1,Top 2, t-1 Price,0.0029243446699558
Q0F.SI,t+1,Top 3, t-11 Vol,0.0023121757042909
Q0F.SI,t+2,Top 1, t-4 ROC,0.0026660069019053
Q0F.SI,t+2,Top 2, t-2 Price,0.0015276919492277
Q0F.SI,t+2,Top 3, t-4 Price,0.0010957335382327
Q0F.SI,t+3,Top 1, t-2 Price,0.0005301991109495
Q0F.SI,t+3,Top 2, t-4 Vol,0.0004620228490572
Q0F.SI,t+3,Top 3, t-9 ROC,0.0003438811402373
Q0F.SI,t+4,Top 1, t-7 Price,0.0007416542239584
Q0F.SI,t+4,Top 2, t-5 Price,0.0005639901016278
Q0F.SI,t+4,Top 3, t-6 Vol,0.0004407254684452
Q0F.SI,t+5,Top 1, t-2 Price,0.0057640592325099
Q0F.SI,t+5,Top 2, t-12 ROC,0.0011282194037019
Q0F.SI,t+5,Top 3, t-13 Vol,0.0008348690856974
Q0F.SI,t+6,Top 1, t-6 Price,0.0011292156968581
Q0F.SI,t+6,Top 2, t-8 Price,0.0006405346231069
Q0F.SI,t+6,Top 3, t-6 ROC,0.0005241202071445
Q0F.SI,t+7,Top 1, t-8 Price,0.0063336842143769
Q0F.SI,t+7,Top 2, t-12 Price,0.0013394455002814
Q0F.SI,t+7,Top 3, t-4 ROC,0.0009343689204957
Q0F.SI,t+8,Top 1, t-7 Vol,0.0021927994908744
Q0F.SI,t+8,Top 2, t-8 Vol,0.001362913209118
Q0F.SI,t+8,Top 3, t-12 Price,0.0009348850148791
Q0F.SI,t+9,Top 1, t-1 Price,0.0052999786636445
Q0F.SI,t+9,Top 2, t-7 Vol,0.0015125074491899
Q0F.SI,t+9,Top 3, t-11 Vol,0.0008188705319528
Q0F.SI,t+10,Top 1, t-1 Vol,0.0011460813100504
Q0F.SI,t+10,Top 2, t-9 ROC,0.0010702594604555
Q0F.SI,t+10,Top 3, t-1 Price,0.0006474677177504
Q0F.SI,t+11,Top 1, t-1 ROC,0.0035662345832057
Q0F.SI,t+11,Top 2, t-4 Price,0.0021680785330432
Q0F.SI,t+11,Top 3, t-5 Vol,0.0021364605731024
Q0F.SI,t+12,Top 1, t-4 Price,0.0029909869413252
Q0F.SI,t+12,Top 2, t-1 ROC,0.0017849004471773
Q0F.SI,t+12,Top 3, t-9 Vol,0.0014955990709434
Q0F.SI,t+13,Top 1, t-3 Vol,0.0023757832053331
Q0F.SI,t+13,Top 2, t-12 Vol,0.0012632577249212
Q0F.SI,t+13,Top 3, t-4 Price,0.0009356037293179
