,y_Tp1_PriceChg_c0,y_Tp1_PriceChg_c1,y_Tp1_PriceChg_c2,y_Tp1_PriceChg_c3,y_Tp1_PriceChg_c4,y_Tp1_PriceChg_c5,pc_pred
0,0.124086,0.014013,0.650701,0.158548,0.035312,0.017339,-0.024074790745647955
1,-0.050969,-0.014707,0.517228,0.514613,0.045332,-0.011498,-0.00113930339944577
2,-0.041661,0.043241,-0.158098,0.032694,0.412854,0.71097,0.09052239131744662
3,0.022395,0.010292,0.186097,0.62797,0.157993,-0.004747,0.005143455950146126
4,-0.079614,0.007417,0.222977,0.512102,0.24316,0.093957,0.02643046101420317
5,0.111591,0.013784,0.131446,0.477585,0.367291,-0.101696,-0.0028094233301742457
6,-0.039894,-0.040923,0.427769,0.625326,-0.00061,0.028333,0.004075874482875376
7,0.021778,0.015998,0.796217,0.227683,-0.041529,-0.020147,-0.02428189647560835
8,0.044522,-0.025809,0.002925,0.05043,0.856413,0.071519,0.04457106785808558
9,0.035014,0.111582,0.618288,0.211853,-0.007461,0.030724,-0.0210473232034257
10,0.016122,0.053084,0.693375,0.251516,-0.000153,-0.013944,-0.02082090201699877
11,-0.056214,0.013563,0.446367,0.489712,0.052944,0.053629,0.0054789338409654146
12,-0.044169,0.007206,0.2035,0.273832,0.180158,0.379473,0.04478541395151958
13,0.059857,0.058345,0.597681,0.326752,-0.007924,-0.034711,-0.02469300226513351
14,-0.007084,0.064917,0.310676,0.586586,0.129325,-0.08442,-0.007496238098909086
15,-0.030831,-0.016459,0.310818,0.674583,0.041872,0.020017,0.006173265180882277
16,0.183275,0.1834,0.611339,-0.071618,0.014766,0.078837,-0.03673079167948116
17,0.007437,-0.057242,-0.100764,0.36138,0.206647,0.582542,0.0719463917397753
18,0.037098,-0.082695,0.464246,0.593759,-0.037698,0.025289,-0.003975006925221229
19,0.052419,-0.016415,0.031057,0.091469,0.787054,0.054416,0.03805034499249652
20,-0.030537,0.010012,0.251521,0.625327,0.105907,0.03777,0.01015610772701254
21,0.01053,-0.054514,-0.002286,0.292814,0.639465,0.113991,0.04561100625000023
22,-0.046196,0.073675,0.307729,0.564694,0.057518,0.042579,0.003973972200921688
23,0.08701,-0.038281,-0.001229,0.016925,0.757311,0.178264,0.046223678475523854
24,-0.057902,-0.008981,0.18425,0.755106,0.064103,0.063425,0.017163456326492056
25,0.003835,-0.037599,0.584114,0.414044,0.018322,0.017283,-0.006145179953179724
26,-0.057751,-0.057137,0.097469,0.015572,0.598923,0.402924,0.07231488501747418
27,-0.032361,0.038189,-0.076407,0.175644,0.785493,0.109442,0.05121848300041006
28,0.018155,-0.043083,0.736978,0.24541,0.025027,0.017513,-0.012041098058838576
29,-0.040361,-0.039981,0.758621,0.331252,0.03823,-0.047761,-0.011737569927935947
30,0.003084,-0.053313,-0.044492,0.02259,1.009109,0.063024,0.05761943011247946
31,0.026146,0.03016,0.722946,0.27561,-0.052589,-0.002272,-0.022261718688659646
32,-0.005832,-0.063867,0.168189,0.578622,0.273054,0.049834,0.022967270893035747
33,0.306672,0.260419,0.427762,-0.081946,-0.030054,0.117147,-0.04771196322781506
34,0.076226,0.072283,0.745413,0.072787,0.033395,-0.000105,-0.02781779800938587
35,0.055338,0.021901,0.406903,0.553423,-0.033746,-0.00382,-0.013731209677744813
36,0.031569,-0.093288,0.370818,0.763427,0.003125,-0.075651,-0.006421851823548113
37,0.076064,0.038738,0.25012,0.60912,0.045399,-0.019441,-0.010213991308572028
38,-0.031987,0.068463,0.367356,0.487047,0.211316,-0.102194,-0.0053288029800089235
39,0.058778,-0.01722,0.587017,0.262235,0.02854,0.080651,-0.00781303471738261
40,-0.09026,0.015765,0.172398,0.499361,0.308791,0.093945,0.031147930952611737
41,-0.000173,0.022042,0.374604,0.494972,0.019152,0.089404,0.0030139088666323805
42,-0.014049,0.026511,0.518399,0.520637,-0.083428,0.03193,-0.009321197067737066
43,-0.008325,-0.052832,0.342391,0.461209,0.228892,0.028665,0.013231006214903822
44,-0.056688,-0.040001,0.294782,0.75962,0.019723,0.022565,0.010475320487829539
45,-0.012769,0.014152,0.448194,0.506621,0.073787,-0.029985,-0.005405652419494341
46,0.109935,0.098681,0.061928,0.050885,0.157884,0.520686,0.037605675300470404
47,-0.001158,-0.018645,0.237886,0.730405,0.093399,-0.041887,0.002401825777956533
48,0.04156,0.040594,0.242713,0.54264,0.122086,0.010408,-0.0010183120686662358
49,0.025126,-0.088021,0.370475,0.507824,0.190927,-0.006332,0.0068892374130032005
50,0.01617,-0.043804,0.178045,0.659344,0.178962,0.011282,0.012058974223035323
51,-0.035801,0.070259,-0.034575,0.22363,0.66209,0.114397,0.04360250052209254
52,0.056594,-0.01427,0.371897,0.40586,0.192145,-0.012225,-0.0021769564156827806
53,0.024227,0.066914,-0.019563,0.23374,0.583014,0.111668,0.03373744642570252
54,0.008367,-0.036714,0.489447,0.458773,0.083525,-0.003399,-0.0027896529678932483
55,0.048676,0.032373,0.608112,0.32282,0.040224,-0.052205,-0.021623733972931148
56,-0.045043,-0.08711,0.326209,0.522876,0.26176,0.021308,0.02073157191614411
57,0.051718,0.133033,0.678267,0.127041,0.002456,0.007485,-0.02788201528557924
58,0.035415,0.003919,0.625986,0.287506,0.004127,0.043048,-0.012211542482308555
59,0.09921,0.169954,0.735516,0.025071,-0.05442,0.024668,-0.03816532544246238
60,-0.015233,0.053111,0.425444,0.555976,-0.083427,0.064128,-0.005327631929146536
61,-0.050491,-0.017128,0.449847,0.601665,0.025011,-0.008905,0.0006451040753138724
62,-0.008689,-0.084015,0.429297,0.598384,0.068707,-0.003684,0.003772887447580673
63,0.05253,-0.000184,0.139487,0.602894,0.204614,0.000659,0.006480520355435891
64,-0.030763,-0.081708,-0.063574,-0.014614,0.899272,0.291387,0.07872128707060189
65,0.292283,0.309082,0.314611,0.052336,0.029225,0.002463,-0.05322655984774394
66,0.052521,0.025333,0.813245,0.353909,-0.199459,-0.045548,-0.0369367106636834
67,0.066935,-0.080449,-0.028762,0.037009,0.479435,0.525831,0.0706472476080201
68,0.048525,-0.095924,0.047738,0.343276,0.606962,0.049424,0.036245023894163425
69,0.091382,0.123184,0.315943,0.386782,0.080035,0.002673,-0.01683823337237068
70,0.08382,0.084735,0.633308,0.194694,0.003269,0.000174,-0.0269361351150991
71,0.035412,0.03707,0.40087,0.538963,0.012551,-0.024866,-0.01248774216554049
72,-0.00996,-0.045863,0.288665,0.539568,0.131604,0.095985,0.016578261066033852
