cols,scores,in_mask_freq,frequency,weighted_scores
x_Tm2_PriceChg,0.02766098140654022,43,4,0.02766098140654022
x_Tm10_PRoc1,0.02110720463261947,59,6,0.02110720463261947
x_Tm4_VolChg,0.01408388589248743,41,7,0.01408388589248743
x_Tm12_PriceChg,0.006160827671351571,46,4,0.006160827671351571
x_Tm6_VolChg,0.0057253081566220965,51,2,0.0057253081566220965
x_Tm6_PRoc1,0.005686284669281132,54,3,0.005686284669281132
x_Tm5_PriceChg,0.003842621079908283,52,6,0.003842621079908283
x_Tm9_PRoc1,0.003700194249107264,54,3,0.003700194249107264
x_Tm2_PRoc1,0.0020455243926363813,55,2,0.0020455243926363813
x_Tm13_PRoc1,0.001756496129699968,46,6,0.001756496129699968
x_Tm6_PriceChg,0.0009995950521709063,56,1,0.0009995950521709063
x_Tm1_PRoc1,0.0009138477942370761,46,3,0.0009138477942370761
x_Tm4_PRoc1,0.0005849972560471404,50,2,0.0005849972560471404
x_Tm8_PriceChg,3.0881874374153774e-05,49,1,3.0881874374153774e-05
x_Tm8_VolChg,4.682247922182688e-06,45,1,4.682247922182688e-06
x_Tm11_VolChg,0.0,48,0,0.0
x_Tm1_VolChg,0.0,44,0,0.0
x_Tm1_PriceChg,0.0,43,0,0.0
x_Tm5_VolChg,0.0,45,0,0.0
x_Tm12_PRoc1,-1.707237186853068e-05,50,1,-1.707237186853068e-05
x_Tm3_PRoc1,-2.8443334499946363e-05,44,1,-2.8443334499946363e-05
x_Tm13_PriceChg,-2.8762648398149293e-05,52,2,-2.8762648398149293e-05
x_Tm4_PriceChg,-0.00010308294490841315,50,2,-0.00010308294490841315
x_Tm3_PriceChg,-0.00017107762538749738,56,1,-0.00017107762538749738
x_Tm8_PRoc1,-0.000406954731959962,49,3,-0.000406954731959962
x_Tm11_PRoc1,-0.0006930082695959762,56,6,-0.0006930082695959762
x_Tm2_VolChg,-0.0011857204577988304,52,1,-0.0011857204577988304
x_Tm5_PRoc1,-0.0012178375819261917,46,5,-0.0012178375819261917
x_Tm9_PriceChg,-0.0012307474825857007,52,2,-0.0012307474825857007
x_Tm13_VolChg,-0.0013472091817796196,52,1,-0.0013472091817796196
x_Tm10_PriceChg,-0.0013662493705692584,55,6,-0.0013662493705692584
x_Tm11_PriceChg,-0.0015199024862989827,56,1,-0.0015199024862989827
x_Tm9_VolChg,-0.002008262301605306,51,3,-0.002008262301605306
x_Tm7_PRoc1,-0.0028312179680726767,52,4,-0.0028312179680726767
x_Tm3_VolChg,-0.0033285121906308415,44,2,-0.0033285121906308415
x_Tm12_VolChg,-0.003678414442039219,49,1,-0.003678414442039219
x_Tm7_VolChg,-0.003810623150346095,45,2,-0.003810623150346095
x_Tm10_VolChg,-0.0055055534529637315,50,2,-0.0055055534529637315
x_Tm7_PriceChg,-0.007450847939207545,45,3,-0.007450847939207545
