Feature,Frequency,Avg Feedback
t-1 Vol,5,0.008427728382229879
t-2 Price,3,0.04121453201203943
t-5 Vol,3,0.005798181794407233
t-1 Price,2,0.0438903434887659
t-4 Price,2,0.025194462790553603
t-5 ROC,2,0.025173216046712
t-10 Price,2,0.0171157550734875
t-5 Price,2,0.0158430766992011
t-6 Price,2,0.0157480811766638
t-12 Vol,2,0.015089267872800599
t-1 ROC,1,0.0511572936390434
t-3 Price,1,0.0219984854221087
t-2 ROC,1,0.0213906010391065
t-10 ROC,1,0.0211072046326194
t-2 Vol,1,0.0155485758550978
t-13 Vol,1,0.0146318977051484
t-4 Vol,1,0.0140838858924874
t-8 Price,1,0.0103710201202435
t-7 Price,1,0.0098302289813089
t-11 ROC,1,0.0092994238449986
t-10 Vol,1,0.0075466177898877
t-3 ROC,1,0.0065497616131599
t-6 Vol,1,0.0035411890192503
t-7 Vol,1,0.0029748227132936
