Model,Feature 1,Feedback 1,Feature 2,Feedback 2,Feature 3,Feedback 3
t+1,t-2 Price,0.0461271739995578,t-10 Vol,0.0075466177898877,t-12 Vol,0.0026081696613504
t+2,t-2 Price,0.0498554406300203,t-4 Price,0.0307210718958517,t-3 Price,0.0219984854221087
t+3,t-11 ROC,0.0092994238449986,t-3 ROC,0.0065497616131599,t-6 Vol,0.0035411890192503
t+4,t-1 ROC,0.0511572936390434,t-1 Price,0.0339586913547876,t-5 ROC,0.0253184428271222
t+5,t-6 Price,0.0072876543806772,t-5 Vol,0.0043568398741203,t-7 Vol,0.0029748227132936
t+6,t-2 ROC,0.0213906010391065,t-1 Vol,0.0171522235464018,t-10 Price,0.0159065368551562
t+7,t-1 Price,0.0538219956227442,t-5 Price,0.0095592596258168,t-1 Vol,0.0043218020801146
t+8,t-7 Price,0.0098302289813089,t-5 Vol,0.0095929694420928,t-1 Vol,0.0091015859084057
t+9,t-5 Price,0.0221268937725854,t-10 Price,0.0183249732918188,t-13 Vol,0.0146318977051484
t+10,t-8 Price,0.0103710201202435,t-5 Vol,0.0034447360670086,t-1 Vol,0.0030875276678855
t+11,t-12 Vol,0.0275703660842508,t-6 Price,0.0242085079726504,t-2 Vol,0.0155485758550978
t+12,t-5 ROC,0.0250279892663018,t-4 Price,0.0196678536852555,t-1 Vol,0.0084755027083418
t+13,t-2 Price,0.0276609814065402,t-10 ROC,0.0211072046326194,t-4 Vol,0.0140838858924874
