Ticker,Model,Rank,Feature,Weighted Score
S63.SI,t+1,Top 1, t-2 Price,0.0461271739995578
S63.SI,t+1,Top 2, t-10 Vol,0.0075466177898877
S63.SI,t+1,Top 3, t-12 Vol,0.0026081696613504
S63.SI,t+2,Top 1, t-2 Price,0.0498554406300203
S63.SI,t+2,Top 2, t-4 Price,0.0307210718958517
S63.SI,t+2,Top 3, t-3 Price,0.0219984854221087
S63.SI,t+3,Top 1, t-11 ROC,0.0092994238449986
S63.SI,t+3,Top 2, t-3 ROC,0.0065497616131599
S63.SI,t+3,Top 3, t-6 Vol,0.0035411890192503
S63.SI,t+4,Top 1, t-1 ROC,0.0511572936390434
S63.SI,t+4,Top 2, t-1 Price,0.0339586913547876
S63.SI,t+4,Top 3, t-5 ROC,0.0253184428271222
S63.SI,t+5,Top 1, t-6 Price,0.0072876543806772
S63.SI,t+5,Top 2, t-5 Vol,0.0043568398741203
S63.SI,t+5,Top 3, t-7 Vol,0.0029748227132936
S63.SI,t+6,Top 1, t-2 ROC,0.0213906010391065
S63.SI,t+6,Top 2, t-1 Vol,0.0171522235464018
S63.SI,t+6,Top 3, t-10 Price,0.0159065368551562
S63.SI,t+7,Top 1, t-1 Price,0.0538219956227442
S63.SI,t+7,Top 2, t-5 Price,0.0095592596258168
S63.SI,t+7,Top 3, t-1 Vol,0.0043218020801146
S63.SI,t+8,Top 1, t-7 Price,0.0098302289813089
S63.SI,t+8,Top 2, t-5 Vol,0.0095929694420928
S63.SI,t+8,Top 3, t-1 Vol,0.0091015859084057
S63.SI,t+9,Top 1, t-5 Price,0.0221268937725854
S63.SI,t+9,Top 2, t-10 Price,0.0183249732918188
S63.SI,t+9,Top 3, t-13 Vol,0.0146318977051484
S63.SI,t+10,Top 1, t-8 Price,0.0103710201202435
S63.SI,t+10,Top 2, t-5 Vol,0.0034447360670086
S63.SI,t+10,Top 3, t-1 Vol,0.0030875276678855
S63.SI,t+11,Top 1, t-12 Vol,0.0275703660842508
S63.SI,t+11,Top 2, t-6 Price,0.0242085079726504
S63.SI,t+11,Top 3, t-2 Vol,0.0155485758550978
S63.SI,t+12,Top 1, t-5 ROC,0.0250279892663018
S63.SI,t+12,Top 2, t-4 Price,0.0196678536852555
S63.SI,t+12,Top 3, t-1 Vol,0.0084755027083418
S63.SI,t+13,Top 1, t-2 Price,0.0276609814065402
S63.SI,t+13,Top 2, t-10 ROC,0.0211072046326194
S63.SI,t+13,Top 3, t-4 Vol,0.0140838858924874
