,y_Tp9_PriceChg_c0,y_Tp9_PriceChg_c1,y_Tp9_PriceChg_c2,y_Tp9_PriceChg_c3,y_Tp9_PriceChg_c4,y_Tp9_PriceChg_c5,pc_pred
0,-0.009746,-0.013591,0.459777,0.490995,0.014473,0.058092,0.039882044553587764
1,-0.005848,0.019998,0.794102,0.250458,-0.039138,-0.019573,-0.010888610655798924
2,0.014282,-0.033142,0.724329,0.277247,0.009622,0.007662,0.007628235152115537
3,-0.014373,0.024133,0.397415,0.541787,0.028823,0.022215,0.03447018960738108
4,0.116403,-0.003185,0.808759,0.099383,-0.073591,0.05223,-0.03369953282975467
5,0.01425,-0.033187,0.266443,0.656167,0.036097,0.06023,0.05474139799448302
6,-0.011881,-0.023303,0.681137,0.342833,-0.008013,0.019227,0.01685980348392249
7,-0.022199,-0.061862,0.303282,0.673125,0.047087,0.060567,0.06860696767002994
8,-0.032725,-0.010658,1.067676,0.126242,-0.082096,-0.06844,-0.030150652929606968
9,0.039589,-0.01189,0.59964,0.358518,0.008344,0.005799,0.006022353153348347
10,0.020336,-0.01281,0.42592,0.481079,0.04073,0.044745,0.03409440171879572
11,-0.030411,0.019732,0.480046,0.531032,-0.015625,0.015226,0.028592898454286073
12,-0.006769,0.129159,0.919599,0.056212,-0.039936,-0.058265,-0.04839397052129131
13,-0.021322,-0.046998,0.691638,0.414422,0.013703,-0.051443,0.014465232154674847
14,-0.005082,-0.019576,0.680089,0.31202,0.015699,0.01685,0.015808953019586
15,0.008286,-0.008718,0.931369,0.089391,-0.035183,0.014855,-0.014780363078483487
16,0.000692,0.008159,0.754515,0.241948,0.015492,-0.020806,-0.0030355588004387208
17,0.052376,-0.018013,0.445655,0.485569,0.020476,0.013936,0.018310752628814857
18,-0.030785,-0.016057,0.777579,0.337401,-0.02259,-0.045549,0.002023128744462756
19,0.017098,0.000274,0.671783,0.338252,0.006628,-0.034034,-0.0020536518335607856
20,-0.008196,0.000404,0.279077,0.631812,0.016104,0.080798,0.054847492416591474
21,0.133312,0.265952,0.628522,-0.01009,-0.032972,0.015276,-0.07972846440229917
22,0.005677,-0.01446,0.518559,0.469375,0.005767,0.015081,0.023812536345949785
23,-0.013261,-0.029591,0.941177,0.156769,-0.013793,-0.041301,-0.01212744477762267
24,-0.005235,0.04139,0.847078,0.176008,-0.021907,-0.037333,-0.020918720055684896
25,-0.006882,-0.029107,1.037328,0.078024,-0.044282,-0.035082,-0.02327687482898151
26,0.040354,-0.03404,0.575558,0.387036,0.020562,0.01053,0.013840678915365076
27,-0.027346,-0.025554,0.748921,0.31682,-0.034963,0.022121,0.014462914614830081
28,-0.005225,0.014003,0.762669,0.268577,-0.029713,-0.01031,-0.005187733259917407
29,0.034758,-0.023454,0.57692,0.395717,0.00676,0.009299,0.011920785762410445
30,0.03544,-0.015753,0.857965,0.186702,-0.043717,-0.020637,-0.021059527059421677
31,0.021933,-0.005698,0.753375,0.274611,-0.019947,-0.024273,-0.0094644427372702
32,0.025845,-0.024904,0.234284,0.654457,0.001073,0.109246,0.05704857170263844
33,-0.044174,-0.023285,0.266401,0.637697,0.083072,0.08029,0.07589141235673821
34,0.058312,0.29119,0.777394,-0.033169,-0.067546,-0.02618,-0.08472421091817785
35,0.043785,0.032324,0.862099,0.074284,-0.023207,0.010715,-0.02697092341034975
36,0.037763,0.024082,0.841878,0.091651,-0.013372,0.017998,-0.020132182848300564
37,-0.01637,-0.030046,0.91129,0.198271,-0.029941,-0.033204,-0.008799713534105412
38,0.237337,0.302063,0.470927,-0.001672,-0.033042,0.024387,-0.10196982787222063
39,0.032044,0.003607,0.496963,0.409831,0.03406,0.023494,0.018065697381579544
40,0.00485,0.005008,0.785324,0.232534,-0.008144,-0.019572,-0.007751720413734966
41,-0.006452,-0.021316,0.457909,0.537994,0.003389,0.028476,0.03532063101910706
42,-0.026542,0.05558,0.457698,0.421101,0.032709,0.059453,0.032646565452796275
43,0.006096,-0.02426,0.176771,0.673436,0.123017,0.04494,0.06708085408655878
