Model,Feature 1,Feedback 1,Feature 2,Feedback 2,Feature 3,Feedback 3,Feature 4,Feedback 4,Feature 5,Feedback 5,Feature 6,Feedback 6,Feature 7,Feedback 7,Feature 8,Feedback 8,Feature 9,Feedback 9,Feature 10,Feedback 10,Feature 11,Feedback 11,Feature 12,Feedback 12,Feature 13,Feedback 13
t+1, t-2 ROC,0.0065723927979859, t-9 Vol,0.0017389825950915, t-7 Vol,0.0014067421332342, t-8 Vol,0.0006686868561476, t-3 ROC,0.0005776988595066, t-1 Vol,0.0005769126873318, t-4 Price,0.0005641465222264, t-4 ROC,0.0005131339485496, t-1 Price,0.0003511096853268, t-3 Price,0.0003299401406835, t-8 ROC,0.000212971584204, t-11 ROC,0.0002038923501987, t-12 ROC,0.0001231263400986
t+2, t-8 Vol,0.0203380313162547, t-10 ROC,0.0045068968578077, t-12 Vol,0.0017920400976397, t-13 Vol,0.0016192807307989, t-11 ROC,0.0015265425596677, t-8 ROC,0.0010885843551274, t-5 Vol,0.0009592541999728, t-11 Price,0.0009330212028578, t-4 Vol,0.0006521171707762, t-6 Vol,0.00054436773001, t-3 Price,0.000472340164354, t-1 ROC,0.0003629342761247, t-13 Price,0.0002481362892151
t+3, t-12 Vol,0.0142042120759915, t-1 Vol,0.0036888176957795, t-13 Vol,0.0027914076931303, t-7 Vol,0.0025166285430255, t-8 Price,0.0016206330844145, t-4 Price,0.0014537259538349, t-12 ROC,0.0014404109264769, t-2 Vol,0.0012279081799044, t-7 ROC,0.001136390040888, t-2 Price,0.0009215567034178, t-3 ROC,0.0009095132718221, t-5 Price,0.0007817103646774, t-9 ROC,0.0004242043499405
t+4, t-2 Vol,0.0078200782688129, t-3 Vol,0.0047647181157832, t-2 Price,0.0034729259106059, t-5 ROC,0.0025179078608155, t-10 Vol,0.0018901640918542, t-8 Price,0.0016261901434417, t-3 Price,0.0011234176097403, t-13 Vol,0.0010918746147721, t-11 Price,0.0009942399451857, t-6 Price,0.0009715944865942, t-12 Vol,0.0009252620976436, t-5 Vol,0.000207417768443, t-12 ROC,0.0001725153609118
t+5, t-1 Price,0.0152768551711763, t-6 ROC,0.0149429326581148, t-4 ROC,0.0072761260241847, t-4 Vol,0.006336021292606, t-13 Vol,0.0022514632864285, t-1 ROC,0.0014730714903173, t-5 ROC,0.0014265428253456, t-12 Vol,0.0012655891828777, t-7 ROC,0.0006031413039643, t-3 Price,0.000516606188693, t-12 ROC,0.0005040605122354, t-10 Vol,0.0004658654684169, t-4 Price,0.0003040338457171
t+6, t-8 ROC,0.0029173251086647, t-9 Vol,0.0026368798138416, t-7 ROC,0.0016460109618611, t-3 ROC,0.0015512909073206, t-3 Price,0.0012767065127657, t-3 Vol,0.0005093722258019, t-10 Vol,0.0004555748290124, t-11 Price,0.0002353860230835, t-12 ROC,0.0001845624137221, t-4 ROC,0.000183462260313, t-5 Price,7.57753512678243e-05, t-10 ROC,7.09894704616392e-05, t-1 Vol,6.761963507122618e-05
t+7, t-4 ROC,0.0035680348226512, t-10 Vol,0.0022313610586549, t-13 Vol,0.0020238613023658, t-9 ROC,0.0019301635835782, t-9 Vol,0.000965836388377, t-3 Price,0.0009367782235525, t-12 Vol,0.0008093297525967, t-6 Vol,0.0007549148667553, t-1 ROC,0.0005881189059296, t-2 Price,0.0005382902363303, t-7 Vol,0.0004333992175118, t-7 Price,0.0004015465133492, t-2 Vol,0.0003048311921959
t+8, t-8 Price,0.011121160635845, t-8 Vol,0.0107191128810355, t-1 Vol,0.0048182750244997, t-3 ROC,0.0043483723757322, t-5 Vol,0.0037386619289112, t-4 ROC,0.0016497680043216, t-2 Price,0.0016333689278871, t-1 ROC,0.001508990425398, t-3 Vol,0.0007498931143351, t-13 ROC,0.0006285084658875, t-9 Price,0.0003536195834138, t-7 ROC,0.0002304182336675, t-11 Vol,0.0001783461722938
t+9, t-1 Price,0.0099766896499476, t-8 Vol,0.0045918375151326, t-12 Vol,0.0016734348503291, t-5 ROC,0.0011754168580612, t-6 Price,0.001092659675494, t-2 Price,0.0009326224368747, t-7 Price,0.0007833294557713, t-8 Price,0.0007447489272994, t-6 Vol,0.0007401649255472, t-4 Vol,0.0007193055075001, t-11 ROC,0.0007045974104644, t-1 ROC,0.0004450124036126, t-7 Vol,0.0002488930702157
t+10, t-6 ROC,0.010997095261474, t-4 ROC,0.0086812557864293, t-2 ROC,0.0063217377610093, t-11 ROC,0.0042463005421121, t-10 Price,0.0030650533006199, t-10 Vol,0.0028550386783637, t-13 Vol,0.0019058828630461, t-1 Price,0.0018546221300312, t-7 Vol,0.0013928108207923, t-3 Price,0.00097210827607, t-5 Price,0.0009131610444036, t-8 Price,0.0007423151710485, t-2 Vol,0.0005441593076061
t+11, t-2 Price,0.0209620890171604, t-5 ROC,0.0066422783733835, t-11 Price,0.0023913221736941, t-1 Price,0.0012294251351716, t-9 Vol,0.0011295691998398, t-12 Price,0.0011140068502518, t-6 ROC,0.0010699522544996, t-13 Vol,0.0010241831210674, t-4 Price,0.0004258234625784, t-6 Price,0.0002182669821393, t-13 Price,0.0002136351519178, t-12 ROC,0.0002043404445519, t-11 ROC,0.0001185337201894
t+12, t-11 Vol,0.0094477142592637, t-1 Price,0.0075651721241159, t-10 Vol,0.0022400740020939, t-13 Price,0.0017452295962428, t-4 Price,0.0006210418642804, t-13 Vol,0.00046423470833, t-6 ROC,0.0003779887168548, t-11 Price,0.0003603906601733, t-7 ROC,0.0003257453019716, t-8 Price,0.0003168724816069, t-5 ROC,0.0002629357119793, t-2 ROC,0.0001243343215437, t-2 Price,4.7105365329164913e-05
t+13, t-3 Vol,0.0118970403003048, t-3 ROC,0.0048096596875625, t-6 Price,0.0042487265286264, t-7 ROC,0.0027600522115269, t-11 ROC,0.0018875011285399, t-1 Vol,0.0017238876730258, t-13 Vol,0.0015826544391743, t-7 Price,0.0010877109912488, t-9 Vol,0.0006445464941056, t-8 Vol,0.0006405072353246, t-5 Vol,0.0005463222160378, t-3 Price,0.0003755499519444, t-4 Price,0.0002434220301574
