,y_Tp13_PriceChg_c0,y_Tp13_PriceChg_c1,y_Tp13_PriceChg_c2,y_Tp13_PriceChg_c3,y_Tp13_PriceChg_c4,y_Tp13_PriceChg_c5,y_Tp13_PriceChg_c6,pc_pred
0,-0.020398,0.215383,0.465645,0.263854,0.039231,0.014281,0.022004,0.01793054920720392
1,-0.026893,0.283717,0.582457,0.184792,0.01768,-0.014977,-0.026775,-0.04052151086364258
2,-0.031915,0.126004,0.233552,0.386714,0.268833,-0.041364,0.058176,0.09380008208716316
3,0.020516,0.743175,0.294396,-0.033975,-0.010981,-0.008731,-0.004401,-0.11475885287684222
4,-0.007461,0.105631,0.205481,0.599379,0.132682,-0.049296,0.013584,0.04685648972533328
5,0.013479,0.135025,0.197483,0.552542,0.117957,-0.00187,-0.014617,0.031362460181884516
6,-0.022426,0.286266,0.685863,0.132739,-0.053343,-0.016042,-0.013057,-0.05469573954902814
7,-0.01005,0.154142,0.581997,0.252488,-6.4e-05,0.022747,-0.001259,0.0009946948569564543
8,-0.037755,0.157339,0.344828,0.416461,0.11172,0.051067,-0.04366,0.03350814923808826
9,-0.003758,0.138983,0.589414,0.270357,-0.028229,0.044161,-0.010929,-0.0014684005326806304
10,-0.039875,0.112381,0.271714,0.481071,0.123093,0.032447,0.019169,0.07826488111898194
11,-0.000318,0.172107,0.442764,0.311331,0.033067,-0.007223,0.048272,0.02720627347529869
12,0.088055,0.529175,0.228286,0.155909,0.030628,0.002673,-0.034726,-0.09892284847558895
13,0.022331,0.140835,0.492085,0.305095,0.044219,0.030958,-0.035523,-0.010108373635596656
14,0.045369,-0.006452,0.037281,0.045952,0.451492,0.255146,0.171212,0.2808088972469114
15,0.084215,0.449012,0.392822,0.050056,0.041037,-0.00999,-0.007152,-0.08409594249012099
16,0.026502,0.122401,0.476214,0.397275,-0.013816,-0.008694,0.000118,-0.007972116041668309
17,0.022131,0.340994,0.402607,0.257269,0.076033,-0.049568,-0.049466,-0.06901130989170104
18,-0.02886,0.118433,0.331137,0.449907,0.137406,-0.017246,0.009224,0.04945500308095686
19,-0.002023,0.332361,0.590613,0.040107,0.03582,0.001922,0.0012,-0.038262703241218214
20,0.05354,0.048859,0.147166,0.599476,0.125191,0.011365,0.014403,0.057655227543332424
21,-0.001769,0.158235,0.500643,0.332226,0.015016,-0.010572,0.00622,9.024160410203144e-05
22,0.03904,0.338558,0.478025,0.117042,0.037671,-0.023324,0.012989,-0.04646822876673921
23,0.005881,0.144444,0.67878,0.207218,-0.027292,0.006793,-0.015823,-0.027755869180519917
24,-0.005593,0.118299,0.580285,0.333614,-0.010433,-0.014842,-0.001331,-0.006217998205899349
25,0.001427,0.243693,0.574312,0.175648,0.021969,-0.007833,-0.009216,-0.030803758296940972
26,0.097628,0.683394,0.227952,0.034092,-0.052237,-0.067556,0.076727,-0.10762931248510581
27,0.003637,0.418355,0.481881,0.07571,0.027991,0.013297,-0.020872,-0.05702394614572515
28,0.014025,0.095457,0.505663,0.32619,0.061163,0.013898,-0.016397,0.00797632536463207
29,0.013333,-0.011576,0.307226,0.385963,0.299091,0.018605,-0.012643,0.08271632186286944
30,-0.030017,0.185785,0.605828,0.272552,-0.018239,-0.021727,0.005818,-0.011953923351487712
31,-0.032565,0.130265,0.64373,0.272455,0.046612,-0.025476,-0.035021,-0.016826228382314574
32,-0.004258,0.048153,0.372565,0.488085,0.056367,0.037373,0.001715,0.05186417646147487
33,-0.041862,0.157009,0.54466,0.345579,0.02256,-0.036641,0.008695,0.0062136059705804785
34,0.042485,0.109071,0.516211,0.310117,0.012217,0.028001,-0.018102,-0.009813401679518507
35,-0.010456,0.120279,0.264257,0.546165,0.119037,-0.040086,0.000805,0.03419531951144119
36,-0.048996,0.229267,0.366504,0.291827,0.095529,0.025301,0.040568,0.05544437140781292
37,0.226413,0.520357,0.313712,-0.031724,-0.019653,0.017731,-0.026837,-0.15566123296029272
38,0.011493,0.26153,0.691993,0.17608,-0.034201,-0.071522,-0.035374,-0.08896299230077083
39,0.039048,0.341031,0.606466,0.061541,-0.008574,-0.003834,-0.035679,-0.08399204591689505
40,-0.02719,0.124955,0.56334,0.296871,0.03008,0.008649,0.003295,0.017188792916986814
41,-0.009667,0.179151,0.416383,0.446949,0.060073,-0.05074,-0.042148,-0.024732647652846374
42,-0.040084,0.153548,0.186801,0.482561,0.216334,-0.01432,0.01516,0.07419218908131947
43,-0.001637,0.209109,0.666677,0.186363,-0.029101,-0.023885,-0.007526,-0.041818679048371846
44,-0.000393,0.290854,0.670686,0.185903,-0.074844,-0.041118,-0.031089,-0.08252774170661552
45,-0.011754,0.124417,0.456623,0.354248,0.089828,-0.031823,0.018461,0.024635821691905084
46,-0.004805,0.176807,0.449232,0.317335,0.031974,0.008053,0.021404,0.017900751498941395
47,0.018032,0.198644,0.562978,0.217492,-0.039339,0.002864,0.039329,-0.007106135608977233
48,0.011613,0.171241,0.555187,0.237803,-0.010403,-4.8e-05,0.034607,0.002072724297791855
49,-0.006,0.307299,0.287887,0.188335,0.105393,0.005505,0.111581,0.06279074231521325
50,0.028761,0.107056,0.430246,0.432239,0.024025,-0.04007,0.017743,0.003123526303327649
51,-0.000975,0.420437,0.609591,0.040258,-0.03441,-0.025687,-0.009214,-0.08109600931190221
52,-0.021862,0.144299,0.628592,0.282867,-0.043969,0.017126,-0.007053,-0.007337320480797267
53,-0.028107,0.225603,0.453555,0.39736,0.047187,-0.07134,-0.024258,-0.028841702593028037
54,0.033315,0.065945,0.103058,0.561826,0.189698,0.003063,0.043095,0.08706641760757781
55,0.0049,0.196425,0.593576,0.294442,-0.032658,-0.019138,-0.037547,-0.05002813102898818
56,0.029048,0.10743,0.306876,0.415514,0.099313,0.017364,0.024454,0.0448376255400225
57,0.014939,0.107388,0.529509,0.373852,0.022978,-0.018535,-0.030131,-0.018946547945488987
58,-0.010607,0.093265,0.439772,0.423827,0.092354,-0.019089,-0.019521,0.016292155702319892
59,-0.00287,0.153164,0.254569,0.488662,0.154416,-0.01293,-0.035011,0.02001641760778308
60,0.001406,0.037516,0.369555,0.569508,0.099144,-0.056988,-0.020141,0.01813127922234602
61,0.2062,0.455616,0.033305,0.190735,0.031762,-0.004639,0.087023,-0.05099459855191552
62,0.007002,0.151478,0.548528,0.271477,0.046757,0.0025,-0.027743,-0.015517888614155623
63,0.018755,0.097146,-0.098487,0.261953,0.537915,-0.005967,0.188684,0.22458598422177725
64,-0.015445,0.162416,0.524828,0.314969,0.038098,-0.022897,-0.00197,-0.0024740774837108664
65,-0.023351,0.15705,0.547942,0.302009,0.003805,0.000463,0.012081,0.009236004045634096
66,0.054229,0.067343,0.256693,0.653826,0.086896,-0.086157,-0.03283,-0.01504733342948339
67,0.060358,0.567043,0.41596,0.007265,-0.012439,0.00386,-0.042048,-0.12169615396152011
68,0.00172,0.15827,0.429926,0.342878,0.035003,0.015015,0.017189,0.021104733578768055
69,-0.019355,0.169557,0.570465,0.315387,0.022716,-0.070701,0.011931,-0.01567940095201987
70,0.064338,0.332471,0.555703,0.160365,-0.097358,0.000388,-0.015907,-0.08802541981952962
71,0.027743,0.444217,0.518704,0.043215,-0.02289,0.0114,-0.022388,-0.08287675569019573
72,0.008532,0.150089,0.626683,0.241801,0.009745,-0.039473,0.002623,-0.024599464075286057
73,0.021821,0.080981,0.557858,0.266608,0.037984,0.048502,-0.013754,0.011918727226106793
74,-0.010289,0.124081,0.450001,0.37229,0.06939,-0.013378,0.007905,0.022007635887489115
75,-0.020256,0.167252,0.344308,0.444843,0.051748,0.029674,-0.01757,0.02386131736470257
76,-0.03614,0.127104,0.396873,0.409543,0.093678,0.006405,0.002537,0.04241559691221497
77,0.079105,0.481613,0.329822,0.032303,-0.008575,0.041532,0.044199,-0.047623585071310245
78,-0.013648,0.110337,0.362849,0.491768,0.077695,-0.020506,-0.008495,0.024138934382919315
79,-0.027187,-0.029617,0.079195,0.151987,0.572037,0.162677,0.090908,0.25622073065750667
80,0.010199,0.188457,0.608617,0.241464,-0.042765,0.036149,-0.042121,-0.03889754282622352
81,-0.009229,0.089992,0.282721,0.438199,0.210877,-0.013095,0.000534,0.05861468065295621
82,-0.007444,0.148907,0.628659,0.235669,0.00964,-0.002178,-0.013253,-0.015483287759671994
83,0.042868,0.189965,0.286679,0.337645,0.093264,-0.01091,0.060489,0.034372716476593276
84,-0.02414,0.465573,0.600442,0.058605,-0.021632,-0.054406,-0.024442,-0.09523107233100014
85,0.010583,0.199375,0.560422,0.225618,-0.012712,0.01223,0.004484,-0.015849614735228768
86,0.039373,0.298033,0.58992,0.134977,-0.004599,-0.027977,-0.029726,-0.07776912690965815
87,-0.028283,0.095897,0.279096,0.49818,0.1452,0.038869,-0.028958,0.056393400671635945
88,-0.001738,0.075966,0.562546,0.331192,0.023137,0.034349,-0.025452,0.009116764739967672
89,-0.016752,0.100247,0.24989,0.447854,0.214256,0.009422,-0.004918,0.06674472362455788
90,-0.015755,0.085853,0.567884,0.315759,0.014063,0.015206,0.01699,0.027092631456469035
91,0.066206,0.553863,0.362611,-0.017917,0.04973,-0.024169,0.009677,-0.08969848233002158
92,0.025298,0.159236,0.46046,0.328177,0.056733,-0.022595,-0.007308,-0.011861014902345588
93,-0.014908,0.162206,0.345402,0.470839,0.036496,0.030929,-0.030964,0.014062796363555913
94,-0.015792,0.036152,0.181026,0.460555,0.274564,0.039692,0.023804,0.1174112099327482
95,0.0231,0.055439,0.203497,0.52085,0.201117,-0.019955,0.015953,0.06472608819155438
96,0.010149,0.219029,0.552497,0.208046,0.018755,0.042783,-0.051258,-0.03437049796882388
97,0.027769,0.073103,0.450174,0.345052,0.065471,0.036686,0.001746,0.028929768023639838
98,-0.008337,0.125981,0.472016,0.387003,0.037135,-0.011127,-0.002671,0.009733795913573807
99,-0.016767,0.162065,0.527594,0.29882,0.035271,-0.012451,0.005468,0.0044833490361714315
100,-0.014476,0.14081,0.570853,0.279661,0.0322,-0.00541,-0.003638,0.0009876525145975945
101,-0.004029,0.121053,0.52255,0.33735,0.030517,0.001977,-0.009419,0.004159931923801036
102,-0.034712,0.277879,0.48464,0.157197,-0.001351,0.055421,0.060926,0.03641657698823905
103,-0.002929,0.089141,0.459152,0.404113,0.067504,-0.024101,0.00712,0.021429986260708377
104,0.001871,0.169133,0.550272,0.272093,0.019895,-0.011305,-0.001958,-0.011630243774574191
105,0.045937,0.11704,0.614037,0.287022,-0.00084,-0.043892,-0.019304,-0.04536866056361185
106,0.014631,0.085298,0.479195,0.385251,0.019105,-0.017205,0.033725,0.02304328896619605
