cols,scores,in_mask_freq,frequency,weighted_scores
x_Tm1_PRoc1,0.03687404341087948,50,3,0.03687404341087948
x_Tm11_PRoc1,0.020222463713977172,44,4,0.020222463713977172
x_Tm2_VolChg,0.012431129158084017,45,3,0.012431129158084017
x_Tm12_VolChg,0.009767727876858137,48,6,0.009767727876858137
x_Tm2_PriceChg,0.005672666426243927,50,1,0.005672666426243927
x_Tm5_PriceChg,0.004820300018603283,46,5,0.004820300018603283
x_Tm10_PRoc1,0.003918911013663424,51,3,0.003918911013663424
x_Tm10_VolChg,0.003729290341469501,50,2,0.003729290341469501
x_Tm6_VolChg,0.002639277142630026,46,3,0.002639277142630026
x_Tm3_PriceChg,0.002161133803242307,45,3,0.002161133803242307
x_Tm8_PRoc1,0.0017521778248520956,54,4,0.0017521778248520956
x_Tm8_VolChg,0.0007860256843505923,50,2,0.0007860256843505923
x_Tm6_PRoc1,0.0006445697967282476,51,4,0.0006445697967282476
x_Tm10_PriceChg,0.0006009983053499391,55,4,0.0006009983053499391
x_Tm13_PRoc1,0.0001818296129019268,45,1,0.0001818296129019268
x_Tm9_PRoc1,0.00014573629621363076,51,4,0.00014573629621363076
x_Tm3_PRoc1,0.0001378384405994533,50,1,0.0001378384405994533
x_Tm12_PriceChg,7.068116607145602e-05,42,2,7.068116607145602e-05
x_Tm4_VolChg,6.482905517430135e-05,51,1,6.482905517430135e-05
x_Tm12_PRoc1,2.209200750583149e-05,52,4,2.209200750583149e-05
x_Tm7_VolChg,0.0,38,0,0.0
x_Tm1_VolChg,0.0,40,0,0.0
x_Tm6_PriceChg,0.0,43,0,0.0
x_Tm4_PriceChg,0.0,46,0,0.0
x_Tm9_VolChg,-7.378956071368587e-05,56,2,-7.378956071368587e-05
x_Tm2_PRoc1,-0.0001499257095062335,46,1,-0.0001499257095062335
x_Tm8_PriceChg,-0.00019409864079390288,48,5,-0.00019409864079390288
x_Tm9_PriceChg,-0.0002441011283725909,51,2,-0.0002441011283725909
x_Tm4_PRoc1,-0.0003725129398295704,50,2,-0.0003725129398295704
x_Tm7_PRoc1,-0.0017431929045749715,42,3,-0.0017431929045749715
x_Tm3_VolChg,-0.002380381191588032,51,3,-0.002380381191588032
x_Tm5_PRoc1,-0.003859546152916086,39,3,-0.003859546152916086
x_Tm13_PriceChg,-0.004578865487052053,54,3,-0.004578865487052053
x_Tm7_PriceChg,-0.00499544441094444,49,1,-0.00499544441094444
x_Tm11_PriceChg,-0.006383087993634876,53,4,-0.006383087993634876
x_Tm5_VolChg,-0.007026687833962019,48,3,-0.007026687833962019
x_Tm11_VolChg,-0.008392333562476786,46,3,-0.008392333562476786
x_Tm13_VolChg,-0.014934181072181849,44,2,-0.014934181072181849
x_Tm1_PriceChg,-0.01997734408863583,44,3,-0.01997734408863583
