Model,Feature 1,Feedback 1,Feature 2,Feedback 2,Feature 3,Feedback 3,Feature 4,Feedback 4,Feature 5,Feedback 5,Feature 6,Feedback 6,Feature 7,Feedback 7,Feature 8,Feedback 8,Feature 9,Feedback 9,Feature 10,Feedback 10,Feature 11,Feedback 11,Feature 12,Feedback 12,Feature 13,Feedback 13
t+1, t-10 ROC,0.0098062428839785, t-3 Vol,0.0064948719903817, t-1 Price,0.0064420349660272, t-2 Price,0.0047450465099218, t-5 Vol,0.0031150556689597, t-11 Price,0.0013824696424081, t-2 Vol,0.001353495095661, t-3 Price,0.0013217178489214, t-6 ROC,0.0009167523697539, t-7 Price,0.0005125701251891, t-13 ROC,0.0004833757023752, t-8 Price,0.0004650721363272, t-10 Price,0.0003915708051017
t+2, t-12 Price,0.013699658453634, t-9 ROC,0.0111815422207497, t-3 ROC,0.0089461809307883, t-4 Price,0.008163414312733, t-7 ROC,0.003838424535003, t-1 ROC,0.0029456811940081, t-1 Price,0.0028897944024604, t-5 Price,0.0027665485229019, t-13 ROC,0.002137246277483, t-13 Price,0.0017913989444223, t-8 Vol,0.0016075404379407, t-11 ROC,0.0015159920953021, t-2 Price,0.0012371587686553
t+3, t-2 Price,0.0285930518438746, t-10 Price,0.0048257472863011, t-5 Price,0.0045688978407415, t-8 ROC,0.0042798288123333, t-13 Price,0.0036146454787365, t-10 Vol,0.0034733236963454, t-8 Vol,0.0030463375904261, t-9 ROC,0.0019592881591268, t-7 Vol,0.0014982854088361, t-3 ROC,0.0013217255138963, t-13 ROC,0.0008597893385099, t-5 ROC,0.0006086602316355, t-13 Vol,0.0005462525747203
t+4, t-1 Price,0.0356430982413955, t-2 Price,0.0150188429116556, t-3 ROC,0.0119345839084303, t-6 ROC,0.0096995615163034, t-11 ROC,0.0063892077069412, t-4 Price,0.0050735620465981, t-12 Vol,0.0042724846845803, t-1 ROC,0.0041094851671448, t-9 Vol,0.003785465056852, t-6 Price,0.0025852359543097, t-12 ROC,0.0015334035043138, t-13 Vol,0.001432264377053, t-8 Price,0.0012004389651744
t+5, t-5 Price,0.0148016703267428, t-1 Price,0.0065824826722148, t-13 Vol,0.0056962292672058, t-3 Price,0.0050353223299256, t-5 ROC,0.0047653730022623, t-4 Vol,0.0042978919868306, t-3 Vol,0.003485594274716, t-7 Vol,0.0032274194993307, t-1 Vol,0.0020016484267642, t-8 Vol,0.0016219834105826, t-4 Price,0.0015715481225362, t-8 Price,0.0007823178928569, t-12 Price,0.0005289395444727
t+6, t-1 Price,0.0111035231945915, t-3 Vol,0.0105312838004838, t-3 Price,0.0091968490104794, t-2 Price,0.0076886623210682, t-4 Price,0.0056963504359541, t-12 Vol,0.0056130454523731, t-9 Vol,0.0049429418155848, t-12 Price,0.0038298858107935, t-9 Price,0.0037282317274945, t-8 Price,0.0032999919796345, t-6 Price,0.0028424782877771, t-1 Vol,0.0019005542530392, t-2 ROC,0.0018027340928324
t+7, t-13 Vol,0.0387278422168958, t-8 ROC,0.0375185529193727, t-2 Price,0.0261719887500645, t-1 Vol,0.0166689845452835, t-2 ROC,0.0103362661309513, t-1 ROC,0.0085768195781648, t-11 Vol,0.0058691691165588, t-1 Price,0.0058432180577214, t-12 ROC,0.0045769393154592, t-7 Vol,0.0037204450305527, t-10 Price,0.0024010499181518, t-5 Vol,0.0021325769923187, t-9 Vol,0.0007772674188157
t+8, t-9 Price,0.0419380014552417, t-1 Price,0.0410445862161007, t-2 Price,0.0277717034965244, t-11 Vol,0.0175914202512292, t-6 Price,0.008510178672927, t-11 ROC,0.0065898395161702, t-13 Vol,0.0064584057752395, t-12 ROC,0.0052877245789433, t-7 Vol,0.0047258070647622, t-7 Price,0.0035936958485995, t-12 Price,0.0033314682381201, t-5 ROC,0.0031090493202992, t-3 Vol,0.0022111530482559
t+9, t-4 Price,0.0281483854639131, t-5 Price,0.0274717563646319, t-1 Price,0.0163944462586163, t-1 ROC,0.0083006274758879, t-2 Vol,0.007998020010988, t-11 Price,0.0068088259085788, t-6 Vol,0.0038430367678203, t-4 ROC,0.0010713942855614, t-6 ROC,0.0007211153724981, t-12 ROC,0.000515348817911, t-13 Price,0.0002229395936133, t-12 Price,0.0001442002905356, t-9 Price,1.2697470541530968e-05
t+10, t-7 Vol,0.0225874690467362, t-1 ROC,0.015404343210575, t-8 Vol,0.0070238547895547, t-10 Price,0.0065081482311979, t-3 Vol,0.003829238744715, t-4 Vol,0.003139554086338, t-7 Price,0.0028006311936455, t-9 ROC,0.0022544106128106, t-3 Price,0.0017549426289964, t-2 Vol,0.0009076735510389, t-4 Price,0.0008080883449569, t-12 Price,0.0007542286770583, t-2 Price,0.0007460975147159
