,cols,scores,in_mask_freq,frequency,weighted_scores
3,x_Tm2_PriceChg,1.0341836763443064,3757,185,0.005590182034293548
0,x_Tm1_PriceChg,1.0044010691603096,3867,198,0.005072732672526816
6,x_Tm3_PriceChg,0.3837482120423179,3759,186,0.0020631624303350427
5,x_Tm2_PRoc1,0.23450226531609727,3710,173,0.0013555044237924699
9,x_Tm4_PriceChg,0.21470125625448094,3809,167,0.0012856362649968918
13,x_Tm5_VolChg,0.15838388162573805,3870,187,0.000846972629014642
24,x_Tm9_PriceChg,0.12141617527773244,3789,171,0.0007100361127352774
1,x_Tm1_VolChg,0.12350388199640636,3738,185,0.0006675885513319263
2,x_Tm1_PRoc1,0.1379677136015033,3757,209,0.0006601326009641307
22,x_Tm8_VolChg,0.11307400348521654,3785,218,0.0005186880893817273
4,x_Tm2_VolChg,0.11123684107776496,3896,219,0.000507930781177009
25,x_Tm9_VolChg,0.08157318777356407,3756,207,0.0003940733708867829
33,x_Tm12_PriceChg,0.07089016700228692,3785,206,0.0003441270242829462
18,x_Tm7_PriceChg,0.05571324290853838,3783,170,0.0003277249582855199
20,x_Tm7_PRoc1,0.04375332964174634,3766,195,0.000224376049444853
17,x_Tm6_PRoc1,0.03776373221610922,3770,187,0.00020194509206475518
15,x_Tm6_PriceChg,0.037505975675321115,3823,216,0.0001736387762746348
38,x_Tm13_PRoc1,0.03168905537387416,3717,192,0.0001650471634055946
36,x_Tm13_PriceChg,0.028527842458014672,3788,189,0.00015094096538632103
11,x_Tm4_PRoc1,0.020405585085749224,3705,198,0.00010305851053408699
19,x_Tm7_VolChg,0.0166548451004032,3692,212,7.856059009624152e-05
27,x_Tm10_PriceChg,0.015518360637196464,3727,207,7.49679257835578e-05
28,x_Tm10_VolChg,0.010091988541912695,3796,193,5.22900960720865e-05
32,x_Tm11_PRoc1,0.00035988771100609745,3748,181,1.988329895061312e-06
35,x_Tm12_PRoc1,-0.00020325304337660675,3731,222,-9.155542494441746e-07
26,x_Tm9_PRoc1,-0.0024551785841958455,3859,221,-1.1109405358352241e-05
30,x_Tm11_PriceChg,-0.003205626794198621,3753,204,-1.5713856834306967e-05
14,x_Tm5_PRoc1,-0.0038059835524589074,3750,167,-2.2790320673406632e-05
29,x_Tm10_PRoc1,-0.012939827463603915,3777,197,-6.56844033685478e-05
8,x_Tm3_PRoc1,-0.01600120246672439,3754,183,-8.743826484548848e-05
21,x_Tm8_PriceChg,-0.02043425890350952,3771,179,-0.00011415787096932693
12,x_Tm5_PriceChg,-0.05785921479600895,3753,209,-0.0002768383483062629
34,x_Tm12_VolChg,-0.0546139552320523,3825,191,-0.0002859369383877084
7,x_Tm3_VolChg,-0.06952863742415454,3821,186,-0.00037380987862448676
31,x_Tm11_VolChg,-0.11466900778101294,3790,175,-0.0006552514730343597
16,x_Tm6_VolChg,-0.11864966659532741,3770,180,-0.0006591648144184856
23,x_Tm8_PRoc1,-0.15012286647334944,3770,193,-0.0007778386863904116
10,x_Tm4_VolChg,-0.21704880335271842,3841,213,-0.0010190084664446874
37,x_Tm13_VolChg,-0.22308462978101018,3764,190,-0.0011741296304263694
