Date,y_Tp10_PriceChg_c0,y_Tp10_PriceChg_c1,y_Tp10_PriceChg_c2,y_Tp10_PriceChg_c3,y_Tp10_PriceChg_c4,y_Tp10_PriceChg_c5,y_Tp10_PriceChg_c6,pc_pred
1986-09-03,0.00243,0.024701,0.148239,0.778931,0.044491,0.000713,0.0,0.026113497809794384
1986-09-04,0.005618,0.05247,0.231961,0.659735,0.048677,0.000788,0.0,0.004946661284722688
1986-09-05,0.002967,0.028896,0.100281,0.579917,0.266227,0.008677,0.0,0.0823188379716139
1986-09-08,0.0,0.002308,0.010035,0.551581,0.393713,0.02695,0.013339,0.14773489835123085
1986-09-09,0.0,0.004341,0.017435,0.594629,0.331538,0.033013,0.014021,0.13528631351793066
1986-09-10,0.0,0.001122,0.006509,0.535778,0.428362,0.019741,0.00788,0.15016663951788664
1986-09-11,0.0,0.001672,0.010197,0.588245,0.382017,0.012371,0.004722,0.13477058789526505
1986-09-12,0.0,0.003039,0.018703,0.746108,0.22197,0.006933,0.002015,0.09495653245919396
1986-09-15,0.0,0.00345,0.018453,0.624368,0.330576,0.01528,0.006544,0.1241024009945669
1986-09-16,0.0,0.003367,0.009824,0.406634,0.479483,0.056793,0.031569,0.18759817548654895
1986-09-17,0.0,0.000501,0.003185,0.331643,0.556922,0.072191,0.033457,0.2136631987922889
1986-09-18,0.000611,0.000492,0.0,0.148706,0.505671,0.227116,0.111931,0.3084589975519687
1986-09-19,0.0,0.000824,0.003415,0.216786,0.566113,0.125447,0.084113,0.2654308132009416
1986-09-22,0.0,0.000134,0.001332,0.27174,0.576651,0.099369,0.049118,0.23795743498752175
1986-09-23,0.0,0.000669,0.002304,0.365483,0.533927,0.060888,0.035359,0.20551188266670634
1986-09-24,0.0,0.003375,0.020618,0.737464,0.226577,0.007597,0.003213,0.09651085505595333
1986-09-25,0.0,0.002235,0.013218,0.715683,0.262436,0.004604,0.00143,0.10351911162762312
1986-09-26,0.0,0.002062,0.017972,0.815779,0.159687,0.003058,0.000952,0.07985357467978374
1986-09-29,0.0,0.010041,0.06461,0.777857,0.14087,0.00396,0.000422,0.06636360677466062
1986-09-30,0.001992,0.01544,0.118749,0.818442,0.044042,0.00068,0.0,0.03331473846955811
1986-10-01,0.0,0.001748,0.007647,0.473933,0.452106,0.042188,0.020673,0.17101407653743556
1986-10-02,0.0,0.00087,0.004497,0.536681,0.432526,0.016995,0.008016,0.15045491734178165
1986-10-03,0.000645,0.01931,0.103387,0.776276,0.096478,0.002102,0.0,0.047018014343001
1986-10-06,0.003131,0.03568,0.205487,0.71679,0.037908,0.000571,0.0,0.012443299758441627
1986-10-07,0.002679,0.062114,0.286494,0.636055,0.012499,8.8e-05,0.0,-0.012804890781733871
1986-10-08,0.005198,0.071506,0.298092,0.611649,0.013314,0.000127,0.0,-0.01817003308263233
1986-10-09,0.003412,0.076183,0.293488,0.609222,0.017465,0.000124,0.0,-0.017034698418746587
1986-10-10,0.00225,0.036944,0.191208,0.721586,0.047033,0.000566,0.0,0.016667588119931884
1986-10-13,0.002296,0.026801,0.138331,0.749106,0.080684,0.001593,0.0,0.03521938683919167
1986-10-14,0.002026,0.026646,0.158672,0.765073,0.046453,0.000681,0.0,0.024562688054544198
1986-10-15,0.001125,0.01603,0.10538,0.809836,0.06588,0.001076,0.0,0.04046732922037053
1986-10-16,0.001427,0.013147,0.098718,0.817301,0.067307,0.001079,0.0,0.04244550096818389
1986-10-17,0.001949,0.023131,0.146785,0.774041,0.052644,0.000859,0.0,0.02880051018705157
1986-10-20,0.002931,0.02936,0.139659,0.733854,0.090868,0.001583,0.0,0.03617269289726582
1986-10-21,0.003505,0.031973,0.144682,0.721866,0.094286,0.00172,0.0,0.035186927731601855
1986-10-22,0.000335,0.019957,0.121416,0.692766,0.158156,0.003784,0.0,0.05803526866771247
1986-10-23,0.001645,0.020675,0.11172,0.737804,0.123066,0.002767,0.0,0.05084418497282277
1986-10-24,0.000733,0.013918,0.080049,0.782735,0.118349,0.002498,0.0,0.056934868718649806
1986-10-27,0.0,0.006747,0.032103,0.570725,0.365153,0.016259,0.006489,0.12881298787606307
1986-10-28,0.0,0.001341,0.00753,0.502796,0.4361,0.035106,0.014333,0.16123397556688546
1986-10-29,0.0,0.001032,0.004944,0.517489,0.426276,0.031378,0.016963,0.15970060749387863
1986-10-30,0.0,0.000805,0.003648,0.306732,0.575725,0.077604,0.034189,0.22012850726660455
1986-10-31,0.000116,0.0,0.000795,0.138831,0.558111,0.217162,0.08252,0.2993120272856497
1986-11-03,0.0,8.2e-05,0.001273,0.206286,0.570198,0.152374,0.06677,0.2674264544313497
1986-11-04,0.0015,0.0,0.000893,0.231828,0.544929,0.146078,0.071629,0.26170394139805003
1986-11-05,0.0,0.000258,0.002605,0.324337,0.533074,0.089229,0.047464,0.22337094235465613
1986-11-06,0.0,1.2e-05,0.001243,0.313703,0.559423,0.08433,0.039416,0.22282481812883276
1986-11-07,0.0,0.000363,0.001541,0.321784,0.578668,0.06435,0.032256,0.21492179628139663
1986-11-10,0.0,0.000467,0.001885,0.341682,0.574571,0.054502,0.026163,0.20661522548113395
1986-11-11,0.0,0.000383,0.001613,0.30613,0.591855,0.067272,0.031886,0.21868015536238392
1986-11-12,0.0,0.000645,0.002466,0.373805,0.558396,0.042106,0.021968,0.19573932919080295
1986-11-13,0.0,0.0013,0.006382,0.617439,0.357956,0.011445,0.004809,0.12998130342063596
1986-11-14,0.0,0.00222,0.011518,0.704169,0.26992,0.008216,0.003357,0.10790726452655157
1986-11-17,0.0,0.002271,0.01116,0.70778,0.265733,0.008986,0.003112,0.10719174420543273
1986-11-18,0.002111,0.026535,0.136143,0.751235,0.081376,0.001506,0.0,0.03583565256425614
1986-11-19,0.003919,0.086326,0.289065,0.595051,0.025233,0.000204,0.0,-0.017694082652769397
1986-11-20,0.002615,0.053798,0.257855,0.668177,0.017293,0.000148,0.0,-0.005000046034926945
1986-11-21,0.003141,0.033159,0.170657,0.741588,0.049973,0.000847,0.0,0.02120794822436426
1986-11-24,0.002608,0.03146,0.181765,0.738719,0.044237,0.000706,0.0,0.018926300217030876
1986-11-25,0.001178,0.022805,0.134474,0.726534,0.110388,0.002473,0.0,0.04412390264220222
1986-11-26,0.002141,0.028191,0.172589,0.759965,0.036265,0.000513,0.0,0.01968166040653963
1986-11-28,0.003226,0.032484,0.184374,0.739982,0.038862,0.000617,0.0,0.016766066103741154
