Date,y_Tp4_PriceChg_c0,y_Tp4_PriceChg_c1,y_Tp4_PriceChg_c2,y_Tp4_PriceChg_c3,y_Tp4_PriceChg_c4,y_Tp4_PriceChg_c5,pc_pred
1986-09-03,0.000892,0.000367,0.257363,0.729659,0.011568,0.0,0.028156203804599142
1986-09-04,0.000754,0.000421,0.402734,0.593025,0.003042,0.0,0.0032944487131397154
1986-09-05,0.00193,0.0,0.060613,0.84399,0.091141,0.001838,0.08010952818010544
1986-09-08,0.000641,0.0,0.025855,0.760116,0.200955,0.01212,0.12016973364726419
1986-09-09,0.001507,0.0,0.030834,0.776907,0.184794,0.005624,0.11128372429012838
1986-09-10,0.000677,0.0,0.014643,0.534829,0.431323,0.018365,0.18497545366011028
1986-09-11,0.000718,0.0,0.010932,0.619537,0.349958,0.018739,0.16465714231649986
1986-09-12,0.000144,0.0,0.232622,0.724303,0.041856,0.000703,0.040720694249211035
1986-09-15,0.000421,0.0,0.116584,0.780804,0.099795,0.001873,0.07434833978270079
1986-09-16,0.000313,0.0,0.011566,0.62727,0.339678,0.021097,0.1633630851633189
1986-09-17,0.000273,0.0,0.005849,0.468666,0.485012,0.040159,0.2122196714562146
1986-09-18,0.00165,0.0,0.022689,0.035802,0.816503,0.122671,0.33929492085751056
1986-09-19,0.017325,0.0,0.034163,0.029873,0.630664,0.283729,0.3684890260908535
1986-09-22,0.00079,0.0,0.008621,0.347819,0.585536,0.057136,0.2467413936292491
1986-09-23,0.001473,0.0,0.007966,0.32794,0.574211,0.088262,0.2603700664014553
1986-09-24,0.000352,0.0,0.226562,0.710127,0.061941,0.000453,0.04662447965821421
1986-09-25,0.000319,0.0,0.093889,0.839093,0.065156,0.001289,0.06866940586199183
1986-09-26,0.00022,0.0,0.108361,0.809716,0.07967,0.001709,0.07043900872510268
1986-09-29,0.000156,0.0,0.173618,0.790116,0.03562,0.000238,0.04807302266631002
1986-09-30,0.000496,0.000175,0.31418,0.671817,0.013111,0.0,0.019933111736998542
1986-10-01,0.000275,0.0,0.020769,0.624201,0.344002,0.01067,0.15743867825132382
1986-10-02,0.000297,0.0,0.024792,0.805888,0.162549,0.006386,0.10747040368897985
1986-10-03,0.000541,0.000135,0.225839,0.756897,0.01642,0.0,0.03458603183462581
1986-10-06,0.001273,0.00066,0.369805,0.623374,0.004821,0.0,0.008564005711238502
1986-10-07,0.002886,0.002118,0.627822,0.366654,0.000512,0.0,-0.0341362976008454
1986-10-08,0.002272,0.001843,0.619147,0.376231,0.0005,0.0,-0.03239377161615082
1986-10-09,0.003738,0.002762,0.654722,0.338233,0.000535,0.0,-0.038966181712763094
1986-10-10,0.001424,0.000767,0.413893,0.578634,0.005235,0.0,0.001675895926631059
1986-10-13,0.000637,0.00031,0.330938,0.655956,0.012056,0.0,0.01693495960506948
1986-10-14,0.00084,0.000349,0.286181,0.692767,0.019567,0.0,0.02574895774352376
1986-10-15,0.000191,3.4e-05,0.231907,0.746124,0.021543,0.0,0.03516650436745199
1986-10-16,0.00071,0.000316,0.240194,0.739349,0.01925,0.0,0.03293176293702009
1986-10-17,0.002613,0.001528,0.445236,0.539104,0.011336,0.0,-0.0024843545012163573
1986-10-20,0.000858,0.000467,0.343092,0.647489,0.008014,0.0,0.013829705393303613
1986-10-21,0.001035,0.000266,0.239725,0.744589,0.014186,0.0,0.031553470813436575
1986-10-22,0.001252,0.0,0.23744,0.710285,0.050312,1.1e-05,0.0412334441599171
1986-10-23,0.000898,0.0,0.168412,0.761774,0.067226,0.000769,0.05696283011558709
1986-10-24,0.000993,0.0,0.170892,0.726524,0.097992,0.002076,0.0651673694323384
1986-10-27,0.00224,0.0,0.022611,0.629111,0.319988,0.025392,0.15789116894397587
1986-10-28,0.000331,0.0,0.00986,0.700434,0.277421,0.011879,0.14251626112662566
1986-10-29,0.001384,0.0,0.023881,0.636264,0.312648,0.025371,0.15620319395018128
1986-10-30,0.000973,0.0,0.008446,0.356211,0.553821,0.080388,0.2510025857040756
1986-10-31,0.001297,0.0,0.016476,0.203695,0.678269,0.100055,0.29244641132096666
1986-11-03,0.001092,0.0,0.00892,0.158008,0.696283,0.135532,0.3175341286842448
1986-11-04,0.000325,0.0,0.008471,0.368986,0.578714,0.043453,0.2378414861665927
1986-11-05,0.000267,0.0,0.008913,0.556167,0.406458,0.028144,0.18490676386764038
1986-11-06,0.000277,0.0,0.010143,0.21676,0.742008,0.030767,0.27307261851731923
1986-11-07,0.00041,0.0,0.007925,0.306781,0.634893,0.049926,0.25593413185245867
1986-11-10,0.000318,0.0,0.007353,0.149824,0.793422,0.049023,0.29665862111619384
1986-11-11,0.000203,0.0,0.009336,0.357021,0.605831,0.027577,0.23622805046371595
1986-11-12,0.000215,0.0,0.003603,0.44044,0.506268,0.049443,0.22311518484208548
1986-11-13,0.000181,0.0,0.036325,0.817731,0.141891,0.003769,0.09895878425287069
1986-11-14,0.000198,0.0,0.067423,0.844443,0.085757,0.001888,0.07852037900935312
1986-11-17,0.000769,0.0,0.048926,0.79887,0.142704,0.008169,0.09926276186392588
1986-11-18,0.001197,0.000601,0.386945,0.607845,0.003368,0.0,0.00556869454643768
1986-11-19,0.005187,0.003796,0.626538,0.363666,0.0008,0.0,-0.03555147566765875
1986-11-20,0.003202,0.002184,0.584075,0.408872,0.001642,0.0,-0.027185496309077684
1986-11-21,0.001107,0.000606,0.388336,0.604832,0.005065,0.0,0.00583184093318364
1986-11-24,0.00043,0.000269,0.335987,0.659004,0.004271,0.0,0.014246773195293359
1986-11-25,0.000428,0.000273,0.392865,0.601437,0.004957,0.0,0.005539234622283161
1986-11-26,0.001268,0.000697,0.338957,0.649044,0.009884,0.0,0.014678587184293681
1986-11-28,0.001298,0.000739,0.253304,0.729121,0.015211,0.0,0.029397826881639708
1986-12-01,0.001163,0.000394,0.167811,0.79745,0.032604,0.0,0.04742831167448128
1986-12-02,0.000628,0.0,0.143524,0.799156,0.055885,0.000329,0.05783305262353756
