Date,y_Tp13_PriceChg_c0,y_Tp13_PriceChg_c1,y_Tp13_PriceChg_c2,y_Tp13_PriceChg_c3,y_Tp13_PriceChg_c4,y_Tp13_PriceChg_c5,y_Tp13_PriceChg_c6,pc_pred
1993-03-15,0.0,0.003313,0.095625,0.462316,0.421057,0.01296,0.00362,0.11485374665085818
1993-03-16,0.0,0.003957,0.167914,0.638979,0.186722,0.001658,0.000287,0.06769274820687281
1993-03-17,0.000347,0.008768,0.335654,0.530839,0.123114,0.000734,0.0,0.03497596103155363
1993-03-18,0.000263,0.008742,0.309066,0.561995,0.118736,0.000658,0.0,0.0378248253483281
1993-03-19,0.0,0.004121,0.129226,0.564135,0.295427,0.004892,0.001279,0.08926062717286351
1993-03-22,0.0,0.008491,0.268265,0.565025,0.156338,0.001028,4.1e-05,0.04871183467547301
1993-03-23,8.1e-05,0.005141,0.277821,0.573043,0.143006,0.000563,0.0,0.04650691394074018
1993-03-24,0.000209,0.00741,0.310366,0.563451,0.117586,0.000558,0.0,0.037929711757352415
1993-03-25,0.000428,0.011114,0.408065,0.501709,0.078166,0.000276,0.0,0.01840507682138309
1993-03-26,0.000507,0.013209,0.374865,0.501238,0.109008,0.000597,0.0,0.026385298232268536
1993-03-29,0.000857,0.022267,0.334031,0.525244,0.115641,0.000752,0.0,0.029507074954191397
1993-03-30,0.000807,0.02023,0.352475,0.531738,0.093555,0.000441,0.0,0.02463874404470268
1993-03-31,0.000931,0.016288,0.288664,0.481689,0.209531,0.001301,0.0,0.050566807538589546
1993-04-01,0.000737,0.019872,0.320452,0.51331,0.143693,0.000715,0.0,0.036025486182898976
1993-04-02,0.001986,0.020056,0.389376,0.440092,0.146107,0.00109,0.0,0.02681911820393754
1993-04-05,0.000331,0.010991,0.350302,0.547799,0.089525,0.000555,0.0,0.02761243297588791
1993-04-06,0.001477,0.016773,0.378729,0.459776,0.141336,0.001,0.0,0.02885111960922364
1993-04-07,0.001763,0.030242,0.423946,0.449429,0.093292,0.000527,0.0,0.011675037491230963
1993-04-08,0.001113,0.022128,0.436422,0.471085,0.06851,0.0003,0.0,0.009487129599122807
1993-04-12,0.001027,0.018892,0.344927,0.494795,0.137962,0.001054,0.0,0.032299939458717515
1993-04-13,0.000644,0.013416,0.301572,0.539446,0.143579,0.00055,0.0,0.04053778993687257
1993-04-14,0.0,0.008276,0.196717,0.519809,0.270541,0.002606,0.000403,0.07463612068554447
1993-04-15,0.0,0.003509,0.11107,0.581745,0.297249,0.004527,0.001306,0.09198546505465395
1993-04-16,0.000966,0.019781,0.377382,0.492199,0.108644,0.000404,0.0,0.023600345077922663
1993-04-19,0.000843,0.019447,0.440117,0.479893,0.059206,0.000212,0.0,0.008692063909658095
1993-04-20,0.001806,0.036516,0.489149,0.43089,0.041185,0.000176,0.0,-0.0061606404980299985
1993-04-21,0.002714,0.091339,0.517362,0.376902,0.011518,0.0,2e-06,-0.03200974297415193
1993-04-22,0.001934,0.044209,0.507737,0.412193,0.033561,0.000117,0.0,-0.012171876069511527
1993-04-23,0.001579,0.032907,0.437849,0.465613,0.061324,0.000263,0.0,0.004582592723741086
1993-04-26,0.00201,0.051037,0.53214,0.381403,0.033104,6e-05,0.0,-0.0176214105701386
1993-04-27,0.00224,0.059088,0.487633,0.42591,0.024782,6.9e-05,0.0,-0.015744596659340335
1993-04-28,0.001465,0.065626,0.57424,0.345539,0.013027,9e-06,0.0,-0.030234427562556107
1993-04-29,0.00108,0.037205,0.51167,0.426146,0.023731,3e-05,0.0,-0.01137089332459471
1993-04-30,0.000697,0.057861,0.664441,0.272359,0.004616,2e-06,0.0,-0.040151129625693
1993-05-03,0.000493,0.017662,0.469552,0.48488,0.027233,6.5e-05,0.0,0.0011285928908006662
1993-05-04,0.001148,0.0806,0.667865,0.245319,0.005028,0.0,1e-06,-0.04804049381012217
1993-05-05,0.000418,0.008445,0.312207,0.572748,0.10535,0.000372,0.0,0.03546942785755833
1993-05-06,0.002151,0.031728,0.4296,0.436669,0.098332,0.000616,0.0,0.010983324018253374
1993-05-07,0.001499,0.033409,0.497474,0.426648,0.040455,0.000215,0.0,-0.006166291964772464
1993-05-10,0.000325,0.014079,0.292556,0.487936,0.200726,0.002084,0.0,0.05004305429347308
1993-05-11,0.001905,0.025168,0.327432,0.487209,0.154729,0.001451,0.0,0.03448954026520281
1993-05-12,0.000734,0.014507,0.277967,0.513964,0.190148,0.001093,0.0,0.04983980803458147
1993-05-13,0.000214,0.010759,0.323238,0.550281,0.114231,0.000653,0.0,0.03473926712494701
1993-05-14,6.4e-05,0.007393,0.279598,0.58629,0.125323,0.000743,0.0,0.043115892633657685
1993-05-17,0.000352,0.011099,0.372146,0.53488,0.080769,0.000393,0.0,0.0234787092262991
1993-05-18,0.000745,0.01693,0.394063,0.478503,0.108444,0.000625,0.0,0.022509932517854218
1993-05-19,0.001246,0.023703,0.408119,0.458791,0.106648,0.000645,0.0,0.01799995195717848
1993-05-20,0.001022,0.069997,0.686829,0.237062,0.005059,4e-06,0.0,-0.047029447693091884
1993-05-21,0.001446,0.044204,0.481931,0.448705,0.023455,6.4e-05,0.0,-0.010002316397620767
1993-05-24,0.00199,0.094058,0.600513,0.294798,0.008555,0.0,2e-06,-0.04361653205246995
1993-05-25,0.001647,0.055933,0.540809,0.379873,0.021554,2.4e-05,0.0,-0.021729802130042757
1993-05-26,0.001157,0.046154,0.516957,0.420575,0.015029,2.7e-05,0.0,-0.016173462521723653
1993-05-27,0.000461,0.015924,0.426821,0.519709,0.036871,7.6e-05,0.0,0.008572509375844752
1993-05-28,0.00087,0.040382,0.537252,0.409718,0.011685,2.1e-05,0.0,-0.01726189987692021
1993-06-01,0.002338,0.057535,0.580914,0.326152,0.032767,7e-05,0.0,-0.02621365871376776
1993-06-02,0.002969,0.054619,0.484814,0.404027,0.052939,0.000154,0.0,-0.010387734361076706
1993-06-03,0.002612,0.037982,0.461679,0.449783,0.047147,0.000235,0.0,-0.002694166989042221
1993-06-04,0.001908,0.030165,0.388018,0.495082,0.083342,0.000537,0.0,0.014848784956520884
1993-06-07,0.001265,0.038938,0.482183,0.455738,0.021613,5.2e-05,0.0,-0.008517931645195232
1993-06-08,0.001954,0.03804,0.427096,0.469942,0.062302,0.000145,0.0,0.004225155484784204
1993-06-09,0.001247,0.048982,0.502221,0.428186,0.019203,2.2e-05,0.0,-0.014640638462254043
1993-06-10,0.001434,0.037171,0.422143,0.495149,0.043524,0.000154,0.0,0.0027972502258487054
1993-06-11,0.00188,0.03939,0.396541,0.485733,0.0751,0.000385,0.0,0.009617910804098422
1993-06-14,0.001296,0.03069,0.405516,0.496706,0.065126,0.000194,0.0,0.010134460330289943
1993-06-15,0.001642,0.037489,0.408605,0.480233,0.071041,0.000272,0.0,0.0082131146347905
1993-06-16,0.001277,0.069597,0.587261,0.334889,0.00691,4e-06,0.0,-0.03393693310876369
1993-06-17,0.001588,0.037259,0.400518,0.498211,0.061479,0.000253,0.0,0.008011073308951082
1993-06-18,0.001547,0.033509,0.390318,0.499009,0.074424,0.00037,0.0,0.012392167257045228
1993-06-21,0.001365,0.030461,0.421742,0.481934,0.063909,0.000197,0.0,0.007910055073746324
1993-06-22,0.002264,0.051557,0.42508,0.471958,0.048332,0.000185,0.0,-0.0019597080593331344
1993-06-23,0.000993,0.01998,0.424063,0.492689,0.06169,0.000265,0.0,0.010872279293901896
1993-06-24,0.001698,0.037656,0.404187,0.478966,0.076361,0.00032,0.0,0.00945481801966715
1993-06-25,0.001061,0.022133,0.37774,0.519271,0.078754,0.000398,0.0,0.018542875261480792
1993-06-28,0.00097,0.027989,0.317569,0.511528,0.13865,0.001091,0.0,0.03301234019573957
