Date,y_Tp5_PriceChg_c0,y_Tp5_PriceChg_c1,y_Tp5_PriceChg_c2,y_Tp5_PriceChg_c3,y_Tp5_PriceChg_c4,y_Tp5_PriceChg_c5,pc_pred
1993-03-15,0.003226,0.0,0.390006,0.528812,0.062223,0.013387,0.1178726348903114
1993-03-16,0.001227,0.0,0.565796,0.414164,0.014903,0.002713,0.07798913532354043
1993-03-17,0.000635,0.0,0.780147,0.213715,0.003731,8.6e-05,0.037867317075134986
1993-03-18,0.001271,4e-05,0.767384,0.224069,0.004765,0.0,0.03970190323748112
1993-03-19,0.001648,0.0,0.56326,0.413719,0.016636,0.003027,0.07843957539007083
1993-03-22,0.000885,0.0,0.746288,0.246992,0.004137,0.000332,0.04390691580573815
1993-03-23,0.000681,0.0,0.722031,0.270983,0.004661,0.000385,0.04843567974379995
1993-03-24,0.002329,0.001415,0.791968,0.1978,0.004404,0.0,0.0341150012425355
1993-03-25,0.001928,0.001596,0.912653,0.081832,0.001298,0.0,0.012717467040316295
1993-03-26,0.00308,0.002719,0.889778,0.101334,0.002,0.0,0.015600246506180674
1993-03-29,0.002007,0.000781,0.826562,0.166281,0.002779,0.0,0.02832559559432169
1993-03-30,0.00328,0.001907,0.836365,0.153308,0.003012,0.0,0.025256511096214098
1993-03-31,0.003659,0.002194,0.873478,0.117445,0.001846,0.0,0.018296752240561275
1993-04-01,0.005182,0.004437,0.83232,0.151807,0.00396,0.0,0.023800744013847207
1993-04-02,0.00119,0.000578,0.855241,0.14017,0.001821,0.0,0.023802098316755456
1993-04-05,0.002371,0.002146,0.852345,0.138093,0.003076,0.0,0.022908043499015825
1993-04-06,0.002859,0.002927,0.915258,0.076091,0.001679,0.0,0.011067729224244089
1993-04-07,0.005302,0.005545,0.925125,0.06156,0.001368,0.0,0.006650271917530069
1993-04-08,0.003013,0.002204,0.904265,0.087687,0.001608,0.0,0.01322572536217434
1993-04-12,0.002756,0.002191,0.922686,0.070507,0.001098,0.0,0.010135075664987881
1993-04-13,0.00236,0.001463,0.849556,0.142834,0.002511,0.0,0.023755029956241763
1993-04-14,0.001314,0.0,0.665848,0.320779,0.008809,0.001486,0.05885885469685457
