,cols,scores,in_mask_freq,frequency,weighted_scores
0,x_Tm1_PriceChg,1.141232918372316,3308,135,0.008453577173128267
3,x_Tm2_PriceChg,0.8428672911378198,3299,166,0.005077513802035059
7,x_Tm3_VolChg,0.4165389695393648,3305,193,0.0021582330027946363
17,x_Tm6_PRoc1,0.2545043032798191,3303,177,0.0014378774196599949
4,x_Tm2_VolChg,0.2080414991470756,3382,162,0.0012842067848584913
27,x_Tm10_PriceChg,0.20691335419879098,3260,177,0.0011690020011231128
9,x_Tm4_PriceChg,0.16842753608917552,3422,150,0.0011228502405945034
16,x_Tm6_VolChg,0.18654462274157657,3331,171,0.0010909042265589274
37,x_Tm13_VolChg,0.14765173939479756,3321,145,0.0010182878578951556
5,x_Tm2_PRoc1,0.15769493724582453,3382,157,0.0010044263518842328
6,x_Tm3_PriceChg,0.14009770228321064,3296,143,0.0009797042117707037
20,x_Tm7_PRoc1,0.16930540362199498,3373,175,0.0009674594492685428
31,x_Tm11_VolChg,0.16576258273363434,3261,179,0.000926047948232594
34,x_Tm12_VolChg,0.14045184311859618,3287,176,0.0007980218359011147
15,x_Tm6_PriceChg,0.14142537107187422,3344,183,0.0007728162353654329
18,x_Tm7_PriceChg,0.11843445035342005,3281,164,0.0007221612826428052
8,x_Tm3_PRoc1,0.12823640257601782,3323,182,0.0007045956185495484
14,x_Tm5_PRoc1,0.11757542667230352,3348,179,0.0006568459590631481
28,x_Tm10_VolChg,0.11414716711753378,3345,186,0.0006136944468684612
12,x_Tm5_PriceChg,0.08075923481254617,3243,168,0.0004807097310270605
2,x_Tm1_PRoc1,0.0844890357740458,3326,182,0.00046422547128596595
22,x_Tm8_VolChg,0.06900641346663669,3282,162,0.0004259655152261524
11,x_Tm4_PRoc1,0.05714172799571117,3311,191,0.0002991713507628857
21,x_Tm8_PriceChg,0.03960689627848637,3352,163,0.0002429870937330452
24,x_Tm9_PriceChg,0.03255546425804694,3367,147,0.00022146574325201997
32,x_Tm11_PRoc1,0.03369982014765152,3253,155,0.00021741819450097756
19,x_Tm7_VolChg,0.03070888577549342,3369,169,0.0001817093832869433
36,x_Tm13_PriceChg,0.00945303050915311,3295,170,5.5606061818547706e-05
26,x_Tm9_PRoc1,-0.008480650615675649,3274,183,-4.634235309112376e-05
35,x_Tm12_PRoc1,-0.012932527335275999,3322,170,-7.607369020750587e-05
30,x_Tm11_PriceChg,-0.01611158102691585,3351,181,-8.901425981721464e-05
29,x_Tm10_PRoc1,-0.03936295454131156,3229,174,-0.00022622387667420435
33,x_Tm12_PriceChg,-0.05496645926266433,3358,189,-0.00029082782678658376
38,x_Tm13_PRoc1,-0.05682986295716283,3364,195,-0.00029143519465211706
25,x_Tm9_VolChg,-0.06090874674279141,3307,160,-0.0003806796671424463
13,x_Tm5_VolChg,-0.06361872381508286,3362,151,-0.00042131605175551565
23,x_Tm8_PRoc1,-0.1262190552822974,3303,149,-0.0008471077535724658
1,x_Tm1_VolChg,-0.18721644105890634,3387,201,-0.0009314250798950564
10,x_Tm4_VolChg,-0.24243099192991233,3380,188,-0.0012895265528186826
