Date,y_Tp5_PriceChg_c0,y_Tp5_PriceChg_c1,y_Tp5_PriceChg_c2,y_Tp5_PriceChg_c3,y_Tp5_PriceChg_c4,y_Tp5_PriceChg_c5,y_Tp5_PriceChg_c6,pc_pred
1991-08-13,0.0,0.004273,0.191315,0.755683,0.047759,1.9e-05,0.000338,0.00899006266017609
1991-08-14,5e-05,0.003491,0.192103,0.767415,0.036283,0.0,0.000279,0.0064238529534678705
1991-08-15,0.0,0.003089,0.106843,0.801307,0.086888,0.000602,0.000781,0.03381885064823804
1991-08-16,0.00023,0.004485,0.296799,0.675753,0.022239,0.0,0.000239,-0.015748411348048354
1991-08-19,6e-06,0.004518,0.195245,0.751791,0.047455,0.0,0.000331,0.008126805097498182
1991-08-20,0.000162,0.004419,0.255512,0.708337,0.03096,0.0,0.000267,-0.0063802237847624165
1991-08-21,0.000457,0.007685,0.293922,0.665589,0.031354,0.0,0.000434,-0.014212265299527892
1991-08-22,0.000105,0.004144,0.258867,0.707956,0.028231,0.0,0.000326,-0.007441507023097299
1991-08-23,0.000169,0.004135,0.359743,0.62053,0.015089,0.0,0.000181,-0.028407271671845098
1991-08-26,0.000407,0.006519,0.399987,0.578496,0.014095,0.0,0.000295,-0.03658925152559137
1991-08-27,0.0,0.002052,0.08822,0.82598,0.082399,0.000496,0.000591,0.036270140603857706
1991-08-28,0.0,0.002366,0.153996,0.792373,0.050355,0.00022,0.000429,0.016977705010787745
1991-08-29,0.0,0.002257,0.068136,0.837686,0.09086,0.000275,0.000478,0.04151863203223073
1991-08-30,0.0,0.002418,0.025416,0.711777,0.250688,0.005252,0.003715,0.0898148066381076
1991-09-03,0.0,0.006259,0.052981,0.691352,0.234912,0.006292,0.005801,0.08180356402342912
1991-09-04,0.0,0.001961,0.020717,0.749859,0.223938,0.00164,0.001541,0.08171350476200101
1991-09-05,0.0,0.001525,0.016522,0.718001,0.259209,0.002653,0.001822,0.09129038614252002
1991-09-06,0.0,0.003231,0.030649,0.681674,0.272956,0.005772,0.005025,0.09478613473932251
1991-09-09,0.0,0.003249,0.028064,0.684865,0.272159,0.00605,0.004867,0.09507234368853856
1991-09-10,0.0,0.001162,0.01246,0.692797,0.28882,0.00281,0.001757,0.09892834122090588
1991-09-11,0.0,0.003711,0.03305,0.716366,0.237528,0.004445,0.003758,0.0846885200311385
1991-09-12,0.0,0.002092,0.016256,0.69061,0.283296,0.004336,0.00298,0.09813382501189571
1991-09-13,0.0,0.002109,0.006583,0.328143,0.579066,0.059814,0.023532,0.20493218673600824
1991-09-16,0.0,0.002318,0.008045,0.325191,0.540321,0.083643,0.038683,0.21590482215334514
1991-09-17,0.0,0.002071,0.006584,0.393006,0.542143,0.038011,0.017442,0.18305939035577348
1991-09-18,0.0,0.001374,0.007438,0.536015,0.438942,0.010418,0.005479,0.1397891119652137
1991-09-19,0.0,0.001928,0.021113,0.706238,0.264245,0.00334,0.002797,0.09242394494783879
