,cols,scores,in_mask_freq,frequency,weighted_scores
0,x_Tm1_PriceChg,0.12462422233415052,3815,197,0.0006326102656555864
3,x_Tm2_PriceChg,0.10886501357533897,3748,179,0.000608184433381782
18,x_Tm7_PriceChg,0.031131778471748747,3676,195,0.00015965014600896794
6,x_Tm3_PriceChg,0.027224797057464105,3762,214,0.0001272186778386173
30,x_Tm11_PriceChg,0.024028012683251818,3803,189,0.0001271323422394276
9,x_Tm4_PriceChg,0.022749493348527106,3746,204,0.00011151712425748581
36,x_Tm13_PriceChg,0.017334722970827936,3689,161,0.0001076690867753288
5,x_Tm2_PRoc1,0.019591991262197402,3729,194,0.0001009896456814299
10,x_Tm4_VolChg,0.019473320802406796,3809,197,9.884934417465379e-05
37,x_Tm13_VolChg,0.01771006541792737,3753,188,9.420247562727325e-05
13,x_Tm5_VolChg,0.01367894549915148,3765,225,6.0795313329562135e-05
24,x_Tm9_PriceChg,0.01107383576839759,3759,189,5.859172364231529e-05
33,x_Tm12_PriceChg,0.008244989777720176,3820,191,4.3167485747226054e-05
15,x_Tm6_PriceChg,0.007546827077501098,3693,183,4.123949222678196e-05
32,x_Tm11_PRoc1,0.006535029548604294,3793,196,3.334198749287905e-05
4,x_Tm2_VolChg,0.0066356299904800015,3802,204,3.252759799254903e-05
12,x_Tm5_PriceChg,0.005107708983005136,3792,195,2.619337940002634e-05
21,x_Tm8_PriceChg,0.004699699691731127,3759,185,2.5403782117465553e-05
7,x_Tm3_VolChg,0.00335476724075029,3750,173,1.9391718154625955e-05
11,x_Tm4_PRoc1,0.0028262489029794577,3780,196,1.4419637260099274e-05
31,x_Tm11_VolChg,0.0021694752044057177,3751,199,1.0901885449274963e-05
17,x_Tm6_PRoc1,0.0009542338194971925,3757,200,4.7711690974859625e-06
38,x_Tm13_PRoc1,0.0005431509428641585,3795,189,2.8738145125087755e-06
29,x_Tm10_PRoc1,0.00042114448951967515,3762,214,1.9679649042975476e-06
20,x_Tm7_PRoc1,-0.0016277373698145522,3787,210,-7.751130332450249e-06
34,x_Tm12_VolChg,-0.0018551016488376898,3730,190,-9.76369288861942e-06
16,x_Tm6_VolChg,-0.0018113816555665337,3779,185,-9.791252192251533e-06
8,x_Tm3_PRoc1,-0.0031886782499949396,3839,184,-1.7329773097798584e-05
35,x_Tm12_PRoc1,-0.005432175666231245,3816,198,-2.7435230637531538e-05
2,x_Tm1_PRoc1,-0.006513876886495419,3747,196,-3.3234065747425605e-05
26,x_Tm9_PRoc1,-0.009225195102732807,3736,178,-5.1826938779397794e-05
28,x_Tm10_VolChg,-0.009660573790010342,3882,182,-5.308007576928759e-05
14,x_Tm5_PRoc1,-0.011606490788240649,3730,196,-5.9216789735921674e-05
1,x_Tm1_VolChg,-0.014168615050448231,3890,179,-7.915427402485045e-05
27,x_Tm10_PriceChg,-0.018223161896331833,3812,220,-8.283255407423561e-05
19,x_Tm7_VolChg,-0.016111740396650906,3762,184,-8.756380650353753e-05
23,x_Tm8_PRoc1,-0.020720751612850304,3880,198,-0.00010465026067096113
22,x_Tm8_VolChg,-0.023014882588164625,3762,206,-0.00011172273101050789
25,x_Tm9_VolChg,-0.026646419672038686,3808,198,-0.00013457787713150852
