,y_Tp7_PriceChg_c0,y_Tp7_PriceChg_c1,y_Tp7_PriceChg_c2,y_Tp7_PriceChg_c3,y_Tp7_PriceChg_c4,y_Tp7_PriceChg_c5,pc_pred
0,0.002081,0.096421,0.509689,0.389579,0.001443,0.000787,0.01947184555985886
1,0.002769,0.003631,0.022003,0.961312,0.002078,0.008207,0.057151492197793766
2,0.000346,0.011505,0.111598,0.875921,0.000435,0.000195,0.05071353786276875
3,0.001582,0.243647,0.392529,0.359067,0.002608,0.000567,0.00982003663371212
4,0.000209,0.042128,0.577673,0.37907,0.000631,0.000289,0.022004701856688635
5,0.006279,0.042115,0.333572,0.583165,0.023447,0.011421,0.037193528896490566
6,0.103884,0.724778,0.059559,0.019604,0.076084,0.016091,-0.03889454320005061
7,0.002072,0.016826,0.215299,0.71691,0.030935,0.017958,0.0487208384883407
8,0.005766,0.089346,0.329242,0.549921,0.019705,0.00602,0.03134356313769814
9,0.001168,0.013831,0.180948,0.744311,0.039706,0.020037,0.05202772706919648
10,0.000117,0.000178,0.045587,0.787098,0.122901,0.044119,0.0704075827225734
11,3.9e-05,6.8e-05,0.092714,0.715908,0.145808,0.045463,0.06971383397865598
12,0.000407,0.000972,0.02675,0.82356,0.07461,0.073701,0.07174981755199122
13,0.002288,0.002029,0.010978,0.236871,0.517362,0.230472,0.12534663833899434
14,0.009368,0.018219,0.106397,0.345816,0.279414,0.240786,0.10097660715528747
15,4.5e-05,0.000386,0.094466,0.876744,0.014863,0.013496,0.055768713694387975
16,0.015434,0.000425,0.021518,0.128562,0.51288,0.321182,0.1340646215846885
17,0.006033,0.013974,0.116517,0.63537,0.145471,0.082634,0.07060483319250516
18,0.00287,0.022508,0.222792,0.648702,0.082336,0.020791,0.05163797275013217
19,7e-06,0.000398,0.082608,0.912432,0.003324,0.001232,0.0539351060443325
20,1.6e-05,0.000458,0.123864,0.862821,0.00898,0.003861,0.0524429335036229
21,0.002624,0.008084,0.192175,0.726696,0.046243,0.024178,0.05277562075224687
22,2e-06,0.003019,0.220108,0.776293,0.000224,0.000354,0.045812298386298966
23,6e-05,0.126566,0.692729,0.180478,0.000121,4.5e-05,0.006408399818105358
24,9.4e-05,0.125603,0.725569,0.148573,0.000103,5.7e-05,0.004718131268662981
25,5e-05,0.0828,0.710632,0.206402,8.4e-05,3.2e-05,0.010244904533327746
