,y_Tp8_PriceChg_c0,y_Tp8_PriceChg_c1,y_Tp8_PriceChg_c2,y_Tp8_PriceChg_c3,y_Tp8_PriceChg_c4,y_Tp8_PriceChg_c5,y_Tp8_PriceChg_c6,pc_pred
0,0.004193,0.029679,0.104757,0.556563,0.300821,0.002274,0.001713,0.024527757603222806
1,0.001697,0.014215,0.492711,0.46424,0.026845,0.000155,0.000136,-0.00937491915374191
2,0.000201,0.00062,0.420588,0.560362,0.018087,5.8e-05,8.4e-05,-0.004220379036447039
3,0.005497,0.009579,0.343295,0.503308,0.131321,0.004383,0.002617,0.0050894901981300075
4,6.5e-05,0.000321,0.111005,0.729227,0.158134,0.000713,0.000535,0.020126791409211014
5,0.002161,0.004419,0.06815,0.369179,0.479169,0.05349,0.023432,0.04922389518476168
6,0.000724,0.001195,0.038804,0.383688,0.543649,0.020178,0.011761,0.04876208076818306
7,0.001991,0.002794,0.012953,0.139616,0.74279,0.050744,0.049112,0.0709121486161059
8,0.000129,0.000272,0.002492,0.104981,0.875175,0.007324,0.009627,0.0667144989100545
9,7.9e-05,0.00017,0.001074,0.126235,0.850053,0.013915,0.008474,0.06603086406206518
10,1e-06,0.0,6e-06,0.090211,0.906973,0.001388,0.00142,0.06638008524832048
11,0.000149,5.3e-05,0.000182,0.130182,0.772256,0.048086,0.049091,0.07346557769858643
12,0.003599,0.006359,0.004651,0.026603,0.128876,0.571869,0.258043,0.13791010479122334
13,0.000166,0.000776,0.004622,0.01767,0.420057,0.410029,0.146681,0.11499162276386679
14,0.003626,0.007256,0.02697,0.15466,0.626781,0.092409,0.088298,0.07535211247996808
15,0.000399,0.000468,0.001832,0.017339,0.621408,0.182711,0.175843,0.1045395368762497
16,2e-06,1.3e-05,0.00198,0.142005,0.851663,0.000661,0.003676,0.06365043433763311
17,0.035052,0.006976,0.001294,0.271117,0.273051,0.273567,0.138943,0.08338735503658194
18,9e-05,0.000117,0.006318,0.126308,0.853552,0.006811,0.006803,0.06479445252004197
19,2.6e-05,9.2e-05,0.000354,0.079676,0.91679,0.001887,0.001176,0.06688486439985661
20,0.000154,0.000677,0.003783,0.200236,0.779851,0.010442,0.004857,0.06098863415233022
21,1.3e-05,8.1e-05,0.015149,0.315496,0.658974,0.006511,0.003777,0.05334885169646926
22,0.000132,0.000646,0.09952,0.657635,0.240734,0.000834,0.0005,0.02511642505841432
23,0.000292,0.001168,0.178433,0.695222,0.123394,0.000886,0.000604,0.014545886810665045
24,0.000131,0.000601,0.944384,0.054233,0.000649,1e-06,1e-06,-0.033333093113223605
25,0.000237,0.000894,0.188403,0.708059,0.101362,0.000651,0.000393,0.012805904104489698
26,0.000208,0.001077,0.449968,0.519578,0.029087,4.2e-05,4e-05,-0.0052753312380214076
27,0.004004,0.018761,0.720983,0.212329,0.042399,0.00086,0.000664,-0.021529008396186756
28,4e-06,3.8e-05,0.082836,0.765709,0.150852,0.000371,0.00019,0.021190512880216193
29,0.000155,0.000822,0.159494,0.63294,0.203718,0.001728,0.001144,0.020114713271147125
30,1e-06,9e-06,0.049266,0.861531,0.089138,3.2e-05,2.2e-05,0.01963285875900709
31,0.000316,0.00094,0.081001,0.646422,0.267093,0.002466,0.001762,0.027882766475195452
32,0.000814,0.002726,0.696077,0.2858,0.014499,4.4e-05,4.1e-05,-0.019575196256887376
33,0.011068,0.030316,0.55627,0.368257,0.032137,0.001,0.000951,-0.01560215174057707
34,0.002194,0.007749,0.633246,0.33694,0.019558,0.000157,0.000156,-0.016679113867029954
35,0.013149,0.030572,0.845631,0.105463,0.004951,0.000121,0.000113,-0.03324776829653917
36,0.008871,0.017539,0.871675,0.093934,0.007654,0.000161,0.000166,-0.03232988674705908
37,0.002197,0.006092,0.625184,0.341447,0.024129,0.000471,0.00048,-0.015719966223389885
38,3.6e-05,0.000155,0.118051,0.833446,0.048277,1.6e-05,1.9e-05,0.013726415961626251
39,0.003356,0.005918,0.57158,0.407475,0.011199,0.000247,0.000226,-0.013772305496605625
40,0.006962,0.034234,0.672284,0.266491,0.01948,0.00026,0.000289,-0.022488391106100965
